x	y	z	Hemostasis
216.157603775171	275.673637444315	34.5586340221659	1
235	278	24	2
246	284	24	1
244	286	24	1
245	287	24	1
243	288	24	1
244	288	24	2
245	288	24	2
249	288	24	1
244	289	24	1
246	289	24	1
248	289	24	2
244	290	24	1
232	265	25	2
231	268	25	3
236	268	25	1
233	269	25	1
235	270	25	1
238	270	25	1
234	271	25	1
227	272	25	2
228	272	25	1
230	272	25	1
239	272	25	1
227	273	25	1
235	273	25	3
236	273	25	1
238	273	25	2
230	274	25	1
231	274	25	2
233	274	25	1
235	274	25	3
238	274	25	2
233	276	25	2
237	276	25	1
239	276	25	1
231	277	25	1
232	277	25	1
233	277	25	1
237	277	25	2
247	277	25	2
231	278	25	1
232	278	25	1
233	278	25	2
234	278	25	1
236	278	25	1
237	278	25	2
238	278	25	1
239	278	25	1
231	279	25	1
232	279	25	2
238	279	25	1
240	279	25	1
241	279	25	2
247	279	25	1
232	280	25	3
233	280	25	1
234	280	25	3
245	280	25	2
235	281	25	1
237	281	25	2
240	281	25	2
243	281	25	1
214	282	25	1
233	282	25	1
234	282	25	1
235	282	25	2
238	282	25	2
239	282	25	2
240	282	25	1
245	282	25	3
247	282	25	1
248	282	25	1
249	282	25	2
231	283	25	1
233	283	25	2
234	283	25	2
235	283	25	2
236	283	25	1
238	283	25	1
239	283	25	2
241	283	25	2
246	283	25	1
247	283	25	1
233	284	25	2
234	284	25	1
235	284	25	1
236	284	25	1
237	284	25	1
245	284	25	1
247	284	25	4
249	284	25	2
232	285	25	3
235	285	25	2
237	285	25	2
239	285	25	2
240	285	25	1
241	285	25	1
243	285	25	2
250	285	25	2
252	285	25	1
253	285	25	1
218	286	25	1
232	286	25	1
234	286	25	1
235	286	25	1
236	286	25	1
240	286	25	2
241	286	25	1
254	286	25	1
223	287	25	1
238	287	25	2
246	287	25	1
224	288	25	2
235	288	25	1
237	288	25	2
239	288	25	2
250	288	25	1
251	288	25	1
226	289	25	1
234	289	25	1
235	289	25	2
250	289	25	2
252	289	25	1
225	290	25	1
234	290	25	2
236	290	25	2
237	290	25	1
238	290	25	1
240	290	25	1
243	290	25	1
244	290	25	1
250	290	25	2
235	291	25	1
236	291	25	2
237	291	25	1
242	291	25	2
251	291	25	1
235	292	25	1
239	292	25	1
242	292	25	3
244	292	25	2
249	292	25	1
250	292	25	2
239	293	25	1
244	293	25	3
247	293	25	1
240	294	25	2
241	294	25	2
243	294	25	1
244	294	25	1
240	295	25	1
243	295	25	2
245	295	25	1
246	296	25	1
247	296	25	2
243	297	25	2
241	299	25	1
243	299	25	1
227	300	25	2
238	300	25	3
182	260	26	1
229	262	26	2
230	264	26	2
231	264	26	1
232	265	26	1
234	265	26	1
230	267	26	3
235	267	26	2
241	267	26	2
233	268	26	1
236	268	26	2
241	268	26	1
229	269	26	1
227	270	26	1
236	270	26	2
238	270	26	2
240	270	26	2
236	271	26	4
240	271	26	1
215	272	26	3
217	272	26	2
224	272	26	1
226	272	26	3
232	272	26	2
236	272	26	2
236	273	26	1
239	273	26	1
248	273	26	2
238	274	26	1
232	275	26	1
233	275	26	1
235	275	26	1
245	275	26	2
246	275	26	1
207	276	26	1
232	276	26	1
233	276	26	1
235	276	26	3
237	276	26	2
248	276	26	1
207	277	26	3
213	277	26	2
231	277	26	2
232	277	26	1
239	277	26	1
240	277	26	1
250	277	26	3
233	278	26	3
234	278	26	1
235	278	26	3
239	278	26	1
249	278	26	1
252	278	26	1
207	279	26	4
231	279	26	1
233	279	26	1
234	279	26	1
237	279	26	1
240	279	26	2
241	279	26	1
246	279	26	2
248	279	26	1
249	279	26	1
250	279	26	1
208	280	26	1
230	280	26	2
236	280	26	1
238	280	26	2
242	280	26	2
248	280	26	1
249	280	26	1
230	281	26	4
232	281	26	2
235	281	26	2
236	281	26	1
237	281	26	2
240	281	26	1
244	281	26	3
246	281	26	1
247	281	26	1
248	281	26	2
250	281	26	4
208	282	26	1
215	282	26	1
233	282	26	3
234	282	26	1
235	282	26	1
237	282	26	2
238	282	26	2
245	282	26	1
246	282	26	1
247	282	26	1
249	282	26	1
251	282	26	1
253	282	26	2
254	282	26	1
227	283	26	1
231	283	26	1
233	283	26	3
234	283	26	1
238	283	26	1
239	283	26	1
241	283	26	1
243	283	26	1
248	283	26	2
249	283	26	2
251	283	26	1
253	283	26	2
212	284	26	2
233	284	26	1
234	284	26	4
235	284	26	1
238	284	26	2
241	284	26	2
242	284	26	1
244	284	26	2
250	284	26	1
252	284	26	1
232	285	26	1
234	285	26	1
236	285	26	1
237	285	26	2
240	285	26	1
241	285	26	2
245	285	26	2
246	285	26	1
247	285	26	1
250	285	26	2
253	285	26	2
255	285	26	2
234	286	26	1
235	286	26	1
236	286	26	1
237	286	26	1
242	286	26	1
243	286	26	1
246	286	26	1
249	286	26	1
250	286	26	1
251	286	26	1
254	286	26	2
232	287	26	1
234	287	26	3
236	287	26	1
237	287	26	1
238	287	26	1
239	287	26	2
245	288	26	2
248	288	26	1
250	288	26	1
253	288	26	1
222	289	26	2
223	289	26	2
227	289	26	3
231	289	26	1
233	289	26	2
234	289	26	3
235	289	26	1
236	289	26	1
237	289	26	1
238	289	26	1
240	289	26	3
242	289	26	4
248	289	26	1
250	289	26	1
251	289	26	1
252	289	26	1
227	290	26	2
236	290	26	1
238	290	26	1
240	290	26	2
242	290	26	1
226	291	26	2
229	291	26	2
232	291	26	1
235	291	26	1
236	291	26	2
238	291	26	1
240	291	26	1
250	291	26	2
225	292	26	1
237	292	26	2
239	292	26	1
240	292	26	1
242	292	26	1
244	292	26	1
247	292	26	1
250	292	26	1
251	292	26	1
254	292	26	1
225	293	26	1
236	293	26	2
237	293	26	1
238	293	26	1
239	293	26	3
240	293	26	2
246	293	26	1
247	293	26	2
253	293	26	2
235	294	26	1
237	294	26	1
239	294	26	1
240	294	26	1
241	294	26	1
244	294	26	1
245	294	26	1
246	294	26	1
249	294	26	1
234	295	26	1
240	295	26	1
243	295	26	1
244	295	26	1
245	295	26	2
254	295	26	1
240	296	26	1
242	296	26	1
244	296	26	1
239	297	26	2
242	297	26	1
245	297	26	1
235	298	26	1
236	298	26	2
239	298	26	2
240	298	26	1
241	299	26	2
243	299	26	2
