x	y	z	The NLRP3 inflammasome
236	297	27	1
251	297	27	1
238	298	27	1
239	298	27	1
215	299	27	1
226	299	27	1
236	299	27	2
242	299	27	1
243	299	27	1
231	300	27	1
238	300	27	1
239	300	27	1
242	300	27	1
240	301	27	1
236	304	27	1
237	304	27	1
230	262	28	1
232	264	28	1
231	267	28	1
236	267	28	1
231	268	28	1
233	272	28	1
236	272	28	1
250	272	28	2
211	273	28	1
232	274	28	1
237	277	28	2
238	277	28	1
248	279	28	1
210	281	28	1
252	281	28	1
234	282	28	1
249	282	28	1
246	283	28	1
247	283	28	1
249	283	28	1
254	283	28	1
250	284	28	1
239	285	28	1
245	285	28	1
249	286	28	1
244	287	28	1
245	288	28	1
253	289	28	1
242	290	28	1
240	291	28	1
222	292	28	1
240	292	28	1
241	292	28	1
245	292	28	1
243	293	28	1
250	293	28	2
242	295	28	1
245	295	28	1
240	296	28	2
245	297	28	1
240	300	28	1
233	256	29	1
182	257	29	1
230	257	29	1
190	258	29	1
227	261	29	1
231	261	29	1
221	262	29	2
222	263	29	1
224	264	29	1
229	264	29	1
238	264	29	1
215	265	29	1
226	265	29	1
233	265	29	1
239	265	29	1
230	266	29	2
236	266	29	1
197	267	29	1
232	267	29	2
234	267	29	1
194	268	29	1
235	268	29	1
238	268	29	1
239	268	29	1
196	269	29	1
235	269	29	1
237	269	29	1
215	270	29	1
238	270	29	1
239	270	29	1
204	271	29	1
229	271	29	1
249	271	29	1
211	272	29	1
232	272	29	1
235	272	29	1
238	272	29	1
180	274	29	1
238	274	29	1
239	274	29	2
242	275	29	1
233	276	29	1
241	276	29	1
246	276	29	1
205	277	29	1
204	278	29	1
236	278	29	1
239	278	29	1
254	279	29	1
236	280	29	1
238	280	29	1
241	280	29	1
252	280	29	1
247	281	29	1
248	281	29	1
250	281	29	2
242	282	29	1
245	282	29	1
246	282	29	1
249	282	29	1
236	283	29	1
238	283	29	1
244	283	29	1
247	283	29	1
243	284	29	1
244	284	29	1
252	284	29	1
236	285	29	1
242	285	29	2
243	285	29	1
250	285	29	1
234	286	29	1
241	286	29	1
247	286	29	1
236	287	29	1
245	287	29	1
228	288	29	1
234	288	29	1
243	288	29	1
253	288	29	1
227	289	29	1
243	289	29	1
226	290	29	1
240	291	29	1
247	291	29	1
250	291	29	1
238	292	29	1
243	292	29	1
222	293	29	1
239	293	29	1
238	294	29	1
242	294	29	1
223	295	29	1
243	295	29	1
244	295	29	1
