x	y	z	Pyruvate metabolism
243	288	24	1
244	290	24	1
235	279	25	1
231	282	25	1
244	285	25	1
250	288	25	1
236	289	25	1
248	273	26	1
231	274	26	1
250	277	26	1
240	278	26	1
248	279	26	1
247	280	26	1
233	282	26	1
249	282	26	1
235	284	26	1
248	286	26	1
251	286	26	1
254	286	26	1
224	287	26	1
239	287	26	1
243	287	26	1
236	290	26	1
239	291	26	1
244	291	26	1
249	291	26	1
241	295	26	1
239	262	27	1
244	263	27	1
229	264	27	1
215	268	27	1
241	268	27	1
243	268	27	1
227	269	27	1
226	271	27	1
176	272	27	1
203	272	27	1
247	272	27	1
234	273	27	1
226	274	27	1
237	274	27	1
208	276	27	1
211	276	27	1
217	276	27	1
247	276	27	1
248	277	27	1
250	278	27	1
251	278	27	1
245	279	27	1
251	279	27	1
252	279	27	1
248	280	27	1
230	281	27	1
240	281	27	1
255	283	27	1
233	285	27	1
220	286	27	1
244	286	27	1
249	287	27	1
221	290	27	1
210	291	27	1
243	291	27	1
218	292	27	1
222	292	27	1
211	293	27	1
223	293	27	1
229	293	27	1
250	293	27	1
244	294	27	1
249	294	27	1
243	295	27	1
227	300	27	1
245	301	27	1
234	265	28	1
237	269	28	1
236	270	28	1
237	270	28	1
241	280	28	1
254	284	28	1
248	285	28	1
245	289	28	1
249	291	28	1
240	292	28	1
248	293	28	1
182	260	29	1
227	261	29	1
245	263	29	1
238	264	29	1
232	266	29	1
236	266	29	1
233	272	29	1
247	278	29	1
235	279	29	1
247	279	29	1
249	280	29	1
212	282	29	1
227	285	29	1
238	285	29	1
225	287	29	1
240	287	29	1
246	290	29	1
219	296	29	1
230	254	30	1
230	256	30	1
232	256	30	1
230	257	30	1
227	258	30	1
189	259	30	1
241	259	30	1
240	260	30	1
224	261	30	1
209	262	30	1
227	262	30	1
231	262	30	1
215	263	30	1
226	263	30	1
214	266	30	1
195	268	30	1
242	269	30	1
217	270	30	1
245	270	30	1
208	271	30	1
238	272	30	1
239	272	30	1
242	272	30	1
250	272	30	1
227	273	30	1
236	273	30	1
240	273	30	1
185	275	30	1
239	275	30	1
208	277	30	1
208	278	30	2
243	279	30	1
252	280	30	1
221	282	30	1
205	283	30	1
224	284	30	1
250	284	30	1
229	285	30	1
223	286	30	1
225	286	30	1
244	286	30	1
256	286	30	1
228	287	30	1
248	287	30	1
246	288	30	1
247	288	30	1
253	288	30	1
237	289	30	1
238	289	30	1
250	290	30	1
229	291	30	1
230	292	30	2
238	292	30	1
249	292	30	1
220	293	30	1
238	293	30	1
244	294	30	1
245	294	30	1
227	295	30	1
220	297	30	1
221	297	30	1
232	297	30	1
226	298	30	1
229	298	30	1
247	298	30	1
215	299	30	1
226	300	30	1
232	300	30	1
249	301	30	1
239	303	30	2
240	303	30	1
234	304	30	1
235	304	30	1
235	254	31	1
237	257	31	1
229	258	31	1
240	258	31	1
235	259	31	1
216	260	31	1
246	260	31	1
228	263	31	1
229	263	31	1
238	264	31	1
193	266	31	1
213	266	31	1
232	266	31	1
244	266	31	1
216	268	31	1
232	269	31	1
178	270	31	1
200	270	31	1
244	270	31	1
175	271	31	1
198	271	31	1
225	271	31	1
227	272	31	1
250	273	31	1
211	275	31	1
235	275	31	1
247	277	31	1
174	278	31	1
204	278	31	1
224	278	31	1
237	279	31	1
244	281	31	1
224	283	31	1
222	285	31	1
236	285	31	1
225	286	31	1
226	287	31	1
197	291	31	1
198	291	31	1
247	293	31	1
228	294	31	1
240	294	31	1
243	294	31	1
245	294	31	1
247	294	31	1
241	295	31	1
257	295	31	1
237	298	31	1
227	300	31	1
223	308	31	1
202	257	32	1
190	258	32	1
232	258	32	1
221	260	32	2
217	262	32	1
221	262.666666666667	33	1
237	263	32	1
191	264	32	1
186	265	32	1
212	265	32	1
249	265	32	1
229	266	32	1
230	266	32	1
216	267	32	1
222	267	32	1
220	268	32	1
214	269	32	1
180	270	32	1
201	270	32	1
213	271	32	1
231	271	32	1
240	272	32	1
182	273	32	1
211	273	32	1
241	273	32	1
245	273	32	1
250	273	32	1
208	274	32	1
213	274	32	1
240	275	32	1
204	276	32	1
205	276	32	1
238	278	32	1
223	279	32	1
224	282	32	1
177	284	32	1
210	284	32	1
185	285	32	1
249	285	32	1
187	287	32	1
256	287	32	1
229	288	32	1
256	289	32	1
199	290	32	1
200	290	32	1
198	291	32	1
243	291	32	1
247	291	32	1
223	293	32	1
228	293	32	1
202	296	32	1
221	297	32	1
233	297	32	1
242	297	32	1
195	298	32	1
197	299	32	1
235	299	32	1
245	300	32	1
248	300	32	1
245	301	32	1
247	302	32	1
226	303	32	1
234	303	32	1
220	304	32	1
206	307	32	1
225	311	32	1
241	253	33	1
221	255	33	1
216	256	33	1
224	257	33	1
230	257	33	1
215	258	33	1
235	258	33	1
220	259	33	1
212	260	33	1
192	262	33	1
240	262	33	1
199	264	33	1
215	264	33	1
221	264	33	1
238	264	33	1
246	264	33	1
226	265	33	1
229	265	33	1
235	265	33	1
197	267	33	1
205	267	33	1
244	267	33	1
240	268	33	1
242	268	33	1
193	269	33	1
209	269	33	1
183	270	33	1
188	270	33	1
207	270	33	1
234	270	33	1
185	273	33	1
170	274	33	1
183	275	33	1
206	275	33	1
186	276	33	1
189	276	33	1
237	276	33	1
173	277	33	1
176	277	33	1
245	277	33	1
244	278	33	1
245	278	33	1
240	279	33	1
175	280	33	1
206	280	33	1
222	281	33	1
242	282	33	1
228	283	33	1
238	283	33	1
221	285	33	1
222	285	33	1
206	286	33	1
228	286	33	1
184	288	33	1
219	288	33	1
257	288	33	1
246	290	33	1
257	290	33	1
231	291	33	1
236	292	33	1
249	292	33	1
182	295	33	1
235	298	33	1
238	298	33	1
246	298	33	1
242	299	33	1
196	300	33	1
249	301	33	1
236	302	33	1
230	305	33	1
223	306	33	1
223	307	33	1
226	309	33	1
226	252	34	1
216	253	34	1
228	253	34	1
219	254	34	1
233	254	34	1
234	259	34	1
218	260	34	1
225	260	34	1
242	260	34	1
245	260	34	1
207	263	34	1
252	263	34	1
240	266	34	1
215	267	34	1
188	268	34	1
187	269	34	1
230	269	34	1
249	269	34	1
215	270	34	1
217	270	34	1
231	270	34	1
247	271	34	1
188	272	34	1
238	272	34	1
249	272	34	1
170	274	34	1
183	274	34	1
185	274	34	1
213	274	34	1
232	274	34	1
246	274	34	1
185	275	34	1
237	275	34	1
205	277	34	1
234	277	34	1
178	278	34	1
236	278	34	1
174	280	34	1
250	281	34	1
179	283	34	1
192	283	34	1
211	283	34	1
227	283	34	1
186	284	34	1
207	286	34	1
230	287	34	1
220	288	34	1
224	288	34	1
226	289	34	1
225	290	34	1
239	290	34	1
232	291	34	1
204	292	34	1
237	292	34	1
204	293	34	1
231	293	34	1
195	294	34	1
199	294	34	1
196	295	34	1
244	297	34	1
248	298	34	1
251	298	34	2
196	301	34	1
239	305	34	1
233	306	34	1
222	308	34	1
242	309	34	2
229	310	34	1
231	311	34	1
221	312	34	1
236	312	34	1
225	313	34	1
231	315	34	1
218	256	35	1
216	257	35	2
225	257	35	1
241	257	35	1
232	258	35	1
218	259	35	1
231	259	35	1
191	260	35	1
234	260	35	1
243	260	35	2
240	261	35	1
221	262	35	1
196	263	35	1
205	263	35	1
210	263	35	1
219	263	35	1
228	263	35	1
237	263	35	1
240	263	35	1
232	265	35	1
233	265	35	1
241	265	35	1
224	266	35	1
191	267	35	1
206	267	35	1
238	268	35	1
247	268	35	1
172	269	35	1
184	269	35	1
213	269	35	1
235	269	35	1
245	270	35	1
247	270	35	1
183	271	35	1
216	272	35	1
232	272	35	1
179	273	35	1
231	274	35	1
237	275	35	1
238	275	35	1
217	276	35	1
230	276	35	1
208	277	35	1
224	277	35	1
242	277	35	1
225	278	35	1
177	280	35	1
207	280	35	1
203	283	35	1
200	284	35	1
244	284	35	1
187	285	35	1
234	285	35	1
189	287	35	1
183	288	35	1
200	288	35	1
204	288	35	1
222	289	35	1
242	290	35	1
195	291	35	1
224	291	35	1
231	291	35	1
228	292	35	1
239	294	35	1
226	297	35	1
230	297	35	1
236	306	35	1
232	307	35	1
206	308	35	1
229	308	35	1
237	309	35	1
213	311	35	1
231	318	35	1
232	319	35	1
229	261	36	1
229	263	36	1
209	264	36	1
242	265	36	1
191	266	36	1
232	266	36	1
235	266	36	1
250	268	36	1
195	270	36	1
232	270	36	1
178	271	36	1
211	271	36	1
175	272	36	1
185	273	36	1
201	274	36	1
212	274	36	1
181	276	36	1
217	277	36	1
234	278	36	1
201	279	36	1
209	279	36	1
192	280	36	1
224	280	36	1
190	281	36	1
211	283	36	1
206	284	36	1
176	285	36	1
185	287	36	1
233	287	36	1
240	287	36	1
223	288	36	1
237	288	36	1
241	289	36	1
244	289	36	1
200	290	36	1
232	290	36	1
200	293	36	1
221	295	36	1
229	295	36	1
230	296	36	1
235	296	36	1
236	296	36	1
219	297	36	1
232	297	36	1
227	301	36	1
225	302	36	1
225	303	36	1
224	306	36	1
243	306	36	1
223	307	36	1
241	307	36	1
234	309	36	1
230	311	36	1
234	313	36	1
237	316	36	1
238	316	36	1
227	259	37	1
228	260	37	1
230	262	37	1
217	263	37	1
229	264	37	1
218	269	37	1
215	275	37	1
211	283	37	1
214	283	37	1
186	284	37	1
206	285	37	1
211	286	37	1
219	286	37	1
196	288	37	1
195	289	37	1
236	290	37	1
229	291	37	1
208	292	37	1
226	293	37	1
228	294	37	1
230	294	37	1
242	294	37	1
229	295	37	1
234	296	37	1
234	297	37	1
243	297	37	1
244	298	37	1
236	303	37	1
240	306	37	1
227	310	37	1
235	312	37	1
237	313	37	1
219	314	37	1
237	316	37	1
236	318	37	1
226	265	38	1
218	270	38	1
218	272	38	1
240	274	38	1
206	275	38	1
219	276	38	1
205	277	38	1
206	279	38	1
220	279	38	1
232	285	38	1
218	288	38	1
192	292	38	1
236	292	38	1
225	294	38	1
235	296	38	1
203	297	38	1
240	298	38	1
204	299	38	1
218	300	38	1
230	300	38	1
229	301	38	1
246	306	38	1
217	310	38	1
220	313	38	1
211	315	38	1
237	319	38	1
214	278	39	1
212	282	39	1
237	283	39	1
191	285	39	1
198	287	39	1
195	289	39	1
207	290	39	1
193	291	39	1
230	292	39	1
199	293	39	1
224	293	39	1
230	294	39	1
229	295	39	1
240	295	39	1
239	296	39	1
200	298	39	1
203	298	39	1
219	298	39	1
229	298	39	1
243	299	39	1
233	301	39	1
235	303	39	1
233	304	39	1
242	306	39	1
232	307	39	1
220	308	39	1
233	308	39	1
227	309	39	1
228	312	39	1
228	313	39	1
229	313	39	1
225	316	39	1
237	318	39	1
194	285	40	1
208	291	40	1
208	292	40	1
204	293	40	1
210	294	40	1
220	295	40	1
206	296	40	1
203	298	40	1
241	304	40	1
228	306	40	1
228	307	40	1
218	310	40	1
240	313	40	1
236	314	40	1
246	318	40	1
224	305	41	1
240	310	41	1
239	313	41	2
244	313	41	1
216	316	41	1
245	318	41	1
230	322	41	1
227	305	42	1
230	306	42	1
226	307	42	1
236	309	42	1
238	311	42	1
242	311	42	1
204	315	42	1
230	315	42	1
217	318	42	1
241	319	42	1
220	304	43	1
227	319	43	1
211	310	44	1
223	313	44	1
132	221	20	3
127	222	20	1
142	222	20	1
138	223	20	2
175	223	20	1
115	224	20	2
134	224	20	2
167	224	20	1
176	224	20	2
141	225	20	1
153	225	20	1
157	225	20	1
159	225	20	2
162	225	20	1
115	226	20	1
155	227	20	3
160	227	20	1
178	227	20	1
119	228	20	1
128	228	20	1
130	228	20	1
132	228	20	1
155	228	20	2
157	228	20	1
158	228	20	2
115	229	20	2
118	229	20	2
160	229	20	1
129	230	20	1
157	230	20	2
169	230	20	1
