x	y	z	Intracellular signaling by second messengers
182	260	26	1
229	262	26	4
229	264	26	1
231	264	26	1
215	265	26	1
234	265	26	1
237	266	26	1
235	267	26	3
241	267	26	2
233	268	26	1
235	268	26	1
228	269	26	1
229	269	26	1
237	269	26	2
236	270	26	2
238	270	26	1
240	270	26	1
235	271	26	1
224	272	26	1
232	272	26	1
234	272	26	1
236	272	26	1
231	273	26	2
237	273	26	2
239	273	26	1
249	273	26	2
231	274	26	1
232	275	26	1
235	275	26	1
236	275	26	1
237	275	26	1
246	275	26	2
249	275	26	1
250	275	26	3
232	276	26	1
235	276	26	1
237	276	26	2
238	276	26	1
244	276	26	1
250	276	26	1
207	277	26	1
209	277	26	1
230	277	26	1
236	277	26	2
237	277	26	1
239	277	26	1
249	277	26	2
231	278	26	1
232	278	26	1
234	278	26	2
235	278	26	1
236	278	26	2
237	278	26	2
239	278	26	1
240	278	26	1
243	278	26	1
249	278	26	1
251	278	26	2
252	278	26	1
232	279	26	1
234	279	26	1
240	279	26	1
241	279	26	1
248	279	26	1
249	279	26	1
250	279	26	1
208	280	26	1
232	280	26	1
233	280	26	2
236	280	26	3
240	280	26	1
242	280	26	2
248	280	26	1
249	280	26	1
250	280	26	1
231	281	26	1
232	281	26	2
234	281	26	1
237	281	26	1
239	281	26	1
240	281	26	1
244	281	26	1
247	281	26	2
248	281	26	1
249	281	26	1
208	282	26	1
209	282	26	2
212	282	26	1
215	282	26	1
229	282	26	2
231	282	26	1
233	282	26	1
238	282	26	2
242	282	26	2
246	282	26	1
251	282	26	1
253	282	26	3
254	282	26	1
227	283	26	4
231	283	26	1
233	283	26	2
234	283	26	3
238	283	26	1
248	283	26	1
249	283	26	1
254	283	26	1
215	284	26	2
232	284	26	3
233	284	26	1
234	284	26	2
235	284	26	1
236	284	26	1
237	284	26	1
238	284	26	2
241	284	26	1
242	284	26	2
243	284	26	1
245	284	26	1
248	284	26	1
252	284	26	1
211	285	26	1
212	285	26	1
232	285	26	2
234	285	26	1
240	285	26	1
245	285	26	1
247	285	26	2
252	285	26	2
255	285	26	1
216	286	26	2
225	286	26	1
233	286	26	1
234	286	26	1
235	286	26	1
240	286	26	1
242	286	26	1
246	286	26	1
247	286	26	1
248	286	26	3
249	286	26	1
250	286	26	1
251	286	26	1
252	286	26	3
253	286	26	1
224	287	26	1
228	287	26	1
232	287	26	2
234	287	26	2
236	287	26	1
238	287	26	1
239	287	26	1
243	287	26	1
248	287	26	2
251	287	26	2
232	288	26	1
235	288	26	1
241	288	26	1
243	288	26	1
245	288	26	1
248	288	26	2
249	288	26	2
250	288	26	2
252	288	26	1
253	288	26	3
223	289	26	2
227	289	26	2
232	289	26	1
234	289	26	1
236	289	26	4
237	289	26	1
240	289	26	1
243	289	26	1
248	289	26	1
252	289	26	2
225	290	26	1
228	290	26	1
233	290	26	1
236	290	26	1
243	290	26	1
250	290	26	2
222	291	26	1
226	291	26	2
229	291	26	2
235	291	26	1
238	291	26	1
239	291	26	1
244	291	26	1
246	291	26	1
249	291	26	1
250	291	26	2
227	292	26	1
239	292	26	1
240	292	26	1
242	292	26	1
247	292	26	1
249	292	26	1
250	292	26	1
251	292	26	3
252	292	26	1
225	293	26	1
236	293	26	1
240	293	26	3
244	293	26	2
245	293	26	2
247	293	26	2
253	293	26	1
220	294	26	4
235	294	26	1
237	294	26	2
239	294	26	1
241	294	26	2
242	294	26	2
249	294	26	1
221	295	26	1
222	295	26	1
234	295	26	1
239	295	26	1
240	295	26	2
241	295	26	1
242	295	26	1
244	295	26	2
248	295	26	2
254	295	26	1
240	296	26	1
241	296	26	1
244	296	26	2
236	297	26	2
239	297	26	2
240	297	26	1
242	297	26	1
244	297	26	1
245	297	26	3
235	298	26	1
242	298	26	2
236	299	26	1
240	299	26	1
243	299	26	2
236	300	26	1
241	300	26	1
182	255	27	1
184	256	27	1
183	257	27	2
186	257	27	1
181	258	27	2
183	258	27	1
215	258	27	1
180	259	27	1
183	259	27	1
226	259	27	2
228	259	27	1
232	259	27	1
181	260	27	3
183	260	27	3
184	260	27	1
186	260	27	1
226	260	27	2
234	260	27	1
180	261	27	1
182	261	27	2
184	261	27	2
185	261	27	2
220	261	27	2
222	261	27	3
228	261	27	3
229	261	27	2
230	261	27	1
231	261	27	1
232	261	27	1
234	261	27	2
239	261	27	1
177	262	27	1
182	262	27	1
186	262	27	1
227	262	27	2
232	262	27	2
233	262	27	2
238	262	27	1
178	263	27	1
182	263	27	1
183	263	27	1
220	263	27	1
225	263	27	5
229	263	27	1
232	263	27	2
234	263	27	1
238	263	27	2
244	263	27	1
175	264	27	2
176	264	27	2
186	264	27	1
209	264	27	1
219	264	27	2
226	264	27	1
228	264	27	1
229	264	27	1
232	264	27	1
234	264	27	2
238	264	27	2
239	264	27	2
248	264	27	1
189	265	27	1
221	265	27	3
230	265	27	2
234	265	27	1
236	265	27	1
237	265	27	1
238	265	27	1
239	265	27	1
240	265	27	1
179	266	27	2
180	266	27	2
215	266	27	1
216	266	27	2
221	266	27	2
224	266	27	1
226	266	27	1
230	266	27	2
231	266	27	3
232	266	27	2
233	266	27	2
235	266	27	1
239	266	27	1
179	267	27	3
215	267	27	1
217	267	27	1
230	267	27	3
233	267	27	2
234	267	27	2
235	267	27	3
236	267	27	1
239	267	27	1
180	268	27	1
197	268	27	1
207	268	27	1
213	268	27	1
215	268	27	2
216	268	27	1
217	268	27	1
222	268	27	1
223	268	27	3
226	268	27	1
228	268	27	1
231	268	27	1
233	268	27	2
234	268	27	2
235	268	27	1
236	268	27	1
239	268	27	1
240	268	27	4
243	268	27	1
247	268	27	1
178	269	27	1
179	269	27	1
180	269	27	2
182	269	27	1
207	269	27	1
213	269	27	1
215	269	27	1
218	269	27	2
224	269	27	1
225	269	27	3
227	269	27	4
229	269	27	1
232	269	27	3
233	269	27	1
234	269	27	2
235	269	27	1
236	269	27	2
237	269	27	3
238	269	27	1
239	269	27	1
240	269	27	1
241	269	27	4
242	269	27	2
243	269	27	3
252	269	27	1
179	270	27	1
181	270	27	1
192	270	27	1
197	270	27	2
215	270	27	1
217	270	27	1
226	270	27	1
231	270	27	1
232	270	27	1
233	270	27	1
234	270	27	2
236	270	27	1
237	270	27	1
243	270	27	2
248	270	27	2
250	270	27	2
177	271	27	2
178	271	27	2
180	271	27	2
181	271	27	2
206	271	27	1
207	271	27	1
209	271	27	1
210	271	27	1
215	271	27	2
216	271	27	1
222	271	27	1
223	271	27	1
225	271	27	2
228	271	27	3
230	271	27	2
233	271	27	1
237	271	27	1
239	271	27	2
242	271	27	1
248	271	27	1
249	271	27	1
251	271	27	2
176	272	27	2
205	272	27	3
206	272	27	1
207	272	27	1
216	272	27	1
220	272	27	1
223	272	27	1
229	272	27	1
231	272	27	2
232	272	27	2
234	272	27	1
236	272	27	2
237	272	27	2
238	272	27	4
239	272	27	1
241	272	27	2
247	272	27	1
249	272	27	1
250	272	27	1
183	273	27	2
205	273	27	1
206	273	27	2
207	273	27	1
211	273	27	2
213	273	27	1
214	273	27	1
215	273	27	1
217	273	27	2
220	273	27	1
223	273	27	1
229	273	27	1
235	273	27	2
238	273	27	2
240	273	27	1
246	273	27	3
248	273	27	3
251	273	27	2
253	273	27	1
203	274	27	1
204	274	27	1
206	274	27	1
207	274	27	1
212	274	27	2
213	274	27	1
214	274	27	1
216	274	27	2
221	274	27	3
224	274	27	1
228	274	27	1
229	274	27	2
230	274	27	1
231	274	27	1
232	274	27	1
233	274	27	3
235	274	27	2
236	274	27	1
238	274	27	4
240	274	27	1
243	274	27	1
247	274	27	2
250	274	27	1
254	274	27	2
184	275	27	1
185	275	27	3
205	275	27	2
206	275	27	1
208	275	27	2
211	275	27	1
212	275	27	2
216	275	27	1
218	275	27	1
220	275	27	1
223	275	27	2
224	275	27	1
230	275	27	1
233	275	27	1
236	275	27	1
240	275	27	1
242	275	27	1
244	275	27	1
245	275	27	2
249	275	27	1
250	275	27	1
252	275	27	1
204	276	27	1
205	276	27	1
206	276	27	2
207	276	27	2
209	276	27	1
210	276	27	1
211	276	27	1
212	276	27	1
213	276	27	1
214	276	27	1
217	276	27	2
220	276	27	1
222	276	27	2
230	276	27	2
233	276	27	1
234	276	27	1
238	276	27	2
239	276	27	1
252	276	27	1
204	277	27	3
207	277	27	1
210	277	27	2
211	277	27	1
213	277	27	1
219	277	27	1
220	277	27	1
224	277	27	2
227	277	27	2
231	277	27	1
236	277	27	2
237	277	27	2
238	277	27	1
240	277	27	2
245	277	27	1
248	277	27	1
249	277	27	1
203	278	27	1
208	278	27	1
210	278	27	2
213	278	27	3
214	278	27	1
219	278	27	1
220	278	27	3
224	278	27	1
225	278	27	3
229	278	27	1
234	278	27	1
235	278	27	1
238	278	27	1
240	278	27	2
244	278	27	1
246	278	27	3
249	278	27	1
252	278	27	1
201	279	27	1
208	279	27	1
210	279	27	1
219	279	27	1
220	279	27	1
230	279	27	3
231	279	27	1
232	279	27	1
234	279	27	2
235	279	27	2
236	279	27	2
239	279	27	1
240	279	27	1
242	279	27	1
244	279	27	1
245	279	27	1
246	279	27	1
249	279	27	1
250	279	27	1
257	279	27	2
205	280	27	1
206	280	27	1
210	280	27	1
214	280	27	1
233	280	27	1
234	280	27	1
235	280	27	3
239	280	27	1
240	280	27	1
246	280	27	1
247	280	27	1
248	280	27	1
249	280	27	1
251	280	27	1
252	280	27	1
256	280	27	1
206	281	27	1
207	281	27	1
209	281	27	1
215	281	27	1
217	281	27	2
218	281	27	1
228	281	27	1
229	281	27	1
231	281	27	1
233	281	27	2
234	281	27	5
236	281	27	2
237	281	27	1
239	281	27	2
241	281	27	1
244	281	27	3
246	281	27	1
248	281	27	1
251	281	27	1
252	281	27	3
257	281	27	1
209	282	27	1
214	282	27	1
216	282	27	1
227	282	27	1
229	282	27	1
233	282	27	1
236	282	27	1
238	282	27	3
240	282	27	2
242	282	27	2
243	282	27	1
245	282	27	1
246	282	27	1
248	282	27	3
250	282	27	2
254	282	27	1
208	283	27	1
209	283	27	1
210	283	27	3
215	283	27	2
216	283	27	1
221	283	27	1
227	283	27	1
234	283	27	1
235	283	27	4
238	283	27	2
239	283	27	1
242	283	27	1
243	283	27	1
244	283	27	2
245	283	27	1
247	283	27	4
248	283	27	1
249	283	27	1
251	283	27	3
254	283	27	1
255	283	27	1
256	283	27	1
205	284	27	2
209	284	27	1
212	284	27	2
213	284	27	2
214	284	27	2
215	284	27	1
237	284	27	2
250	284	27	1
251	284	27	1
252	284	27	2
253	284	27	1
254	284	27	1
255	284	27	1
256	284	27	1
209	285	27	1
211	285	27	1
212	285	27	1
213	285	27	1
215	285	27	1
220	285	27	2
223	285	27	1
224	285	27	2
235	285	27	1
236	285	27	3
237	285	27	2
239	285	27	1
241	285	27	1
242	285	27	1
245	285	27	1
254	285	27	2
206	286	27	2
207	286	27	1
208	286	27	1
209	286	27	1
211	286	27	2
212	286	27	1
214	286	27	2
216	286	27	1
218	286	27	1
219	286	27	1
222	286	27	1
225	286	27	1
232	286	27	1
233	286	27	2
234	286	27	3
235	286	27	1
236	286	27	3
237	286	27	1
249	286	27	2
252	286	27	1
254	286	27	1
256	286	27	1
258	286	27	1
214	287	27	2
221	287	27	2
223	287	27	2
227	287	27	1
230	287	27	2
234	287	27	1
238	287	27	1
239	287	27	2
242	287	27	1
247	287	27	1
248	287	27	2
249	287	27	1
250	287	27	2
251	287	27	2
252	287	27	2
253	287	27	3
256	287	27	1
204	288	27	2
207	288	27	1
211	288	27	1
214	288	27	1
222	288	27	1
223	288	27	2
226	288	27	2
228	288	27	1
231	288	27	2
232	288	27	1
234	288	27	1
236	288	27	1
237	288	27	1
240	288	27	1
241	288	27	2
244	288	27	2
247	288	27	1
249	288	27	2
250	288	27	1
251	288	27	2
255	288	27	2
203	289	27	1
209	289	27	1
219	289	27	1
225	289	27	1
226	289	27	1
227	289	27	1
230	289	27	2
231	289	27	1
232	289	27	2
233	289	27	1
235	289	27	1
237	289	27	1
238	289	27	1
239	289	27	2
240	289	27	2
242	289	27	2
251	289	27	2
252	289	27	4
254	289	27	1
256	289	27	1
207	290	27	1
214	290	27	2
221	290	27	2
224	290	27	1
226	290	27	3
228	290	27	1
230	290	27	1
231	290	27	2
234	290	27	2
237	290	27	1
240	290	27	1
243	290	27	1
246	290	27	2
247	290	27	3
250	290	27	2
253	290	27	2
211	291	27	1
213	291	27	1
227	291	27	1
229	291	27	2
235	291	27	1
236	291	27	3
237	291	27	1
238	291	27	1
240	291	27	2
241	291	27	2
246	291	27	1
247	291	27	3
248	291	27	1
249	291	27	1
250	291	27	1
251	291	27	1
257	291	27	3
212	292	27	2
213	292	27	1
218	292	27	1
220	292	27	1
221	292	27	2
222	292	27	1
225	292	27	1
226	292	27	3
228	292	27	1
229	292	27	2
237	292	27	1
244	292	27	1
247	292	27	2
248	292	27	2
250	292	27	1
252	292	27	2
211	293	27	1
218	293	27	1
219	293	27	1
221	293	27	2
225	293	27	1
226	293	27	3
227	293	27	1
229	293	27	1
234	293	27	1
237	293	27	4
238	293	27	2
240	293	27	3
245	293	27	2
247	293	27	1
248	293	27	2
249	293	27	2
254	293	27	1
256	293	27	3
211	294	27	1
224	294	27	1
225	294	27	1
238	294	27	1
245	294	27	1
248	294	27	1
252	294	27	1
253	294	27	2
218	295	27	2
219	295	27	1
221	295	27	1
243	295	27	2
246	295	27	2
248	295	27	3
249	295	27	1
251	295	27	3
255	295	27	1
211	296	27	1
236	296	27	2
237	296	27	1
239	296	27	2
240	296	27	1
241	296	27	1
244	296	27	1
246	296	27	2
249	296	27	3
252	296	27	1
225	297	27	1
236	297	27	1
238	297	27	2
239	297	27	4
242	297	27	1
243	297	27	2
244	297	27	3
251	297	27	1
221	298	27	1
223	298	27	2
236	298	27	1
237	298	27	1
238	298	27	2
239	298	27	1
244	298	27	2
245	298	27	2
247	298	27	1
248	298	27	1
223	299	27	1
226	299	27	2
229	299	27	1
230	299	27	2
240	299	27	2
241	299	27	1
242	299	27	2
243	299	27	2
245	299	27	1
246	299	27	3
247	299	27	1
249	299	27	1
226	300	27	2
227	300	27	1
231	300	27	1
238	300	27	1
241	300	27	2
248	300	27	1
235	301	27	1
241	301	27	1
243	301	27	1
245	301	27	2
247	301	27	1
251	301	27	1
226	302	27	1
234	302	27	1
239	302	27	1
244	302	27	1
245	302	27	1
241	303	27	2
235	304	27	1
237	304	27	2
238	304	27	1
234	265	28	1
231	266	28	1
234	266	28	1
231	267	28	1
234	267	28	2
235	268	28	2
237	268	28	1
238	268	28	2
237	269	28	1
238	269	28	1
235	270	28	1
236	270	28	3
237	270	28	2
236	271	28	2
232	272	28	1
233	272	28	1
234	272	28	3
236	272	28	2
211	273	28	1
235	273	28	1
214	274	28	1
235	275	28	3
249	275	28	2
235	276	28	1
238	276	28	2
235	277	28	1
237	278	28	1
237	279	28	1
248	279	28	1
235	280	28	1
208	281	28	1
235	281	28	1
248	281	28	1
252	281	28	4
246	282	28	1
237	283	28	1
235	284	28	1
248	284	28	2
250	284	28	1
254	284	28	2
238	285	28	3
239	285	28	2
240	285	28	1
242	285	28	1
244	285	28	1
248	285	28	1
237	286	28	1
246	286	28	1
247	286	28	1
249	286	28	1
240	287	28	2
244	287	28	1
245	287	28	1
246	287	28	2
248	287	28	2
251	287	28	1
238	288	28	1
245	288	28	1
227	289	28	1
228	289	28	1
231	289	28	1
246	289	28	1
247	289	28	2
248	289	28	2
253	289	28	2
226	290	28	1
237	290	28	2
240	290	28	1
237	291	28	2
241	291	28	5
247	291	28	1
248	291	28	2
249	291	28	1
250	291	28	1
222	292	28	1
240	292	28	1
241	292	28	1
247	292	28	1
248	292	28	2
250	292	28	2
250	293	28	1
241	294	28	1
242	294	28	1
245	294	28	1
250	294	28	2
251	294	28	2
240	295	28	1
242	295	28	1
248	295	28	3
240	296	28	1
239	297	28	1
240	298	28	2
236	300	28	1
240	300	28	2
233	256	29	2
190	258	29	2
233	258	29	1
234	258	29	1
237	258	29	1
182	259	29	2
188	259	29	1
182	260	29	1
234	260	29	1
240	260	29	2
183	261	29	1
199	261	29	1
227	261	29	2
231	261	29	2
221	262	29	1
227	262	29	2
229	262	29	3
231	263	29	1
232	263	29	1
245	263	29	2
248	263	29	2
178	264	29	1
215	264	29	1
216	264	29	2
224	264	29	2
230	264	29	2
231	264	29	2
237	264	29	1
238	264	29	1
215	265	29	1
234	265	29	2
238	265	29	2
178	266	29	1
195	266	29	1
226	266	29	4
228	266	29	1
232	266	29	2
236	266	29	1
237	266	29	1
248	266	29	1
250	266	29	2
192	267	29	2
196	267	29	1
197	267	29	1
199	267	29	2
230	267	29	2
231	267	29	1
235	267	29	1
236	267	29	1
241	267	29	2
249	267	29	2
194	268	29	1
217	268	29	1
226	268	29	2
231	268	29	2
234	268	29	2
237	268	29	2
238	268	29	1
180	269	29	2
193	269	29	1
237	269	29	1
240	269	29	4
175	270	29	1
196	270	29	3
198	270	29	1
200	270	29	1
230	270	29	1
234	270	29	3
235	270	29	1
237	270	29	1
239	270	29	2
250	270	29	1
173	271	29	2
214	271	29	2
216	271	29	1
229	271	29	1
235	271	29	3
240	271	29	3
241	271	29	1
251	271	29	1
213	272	29	1
214	272	29	2
215	272	29	1
232	272	29	4
234	272	29	1
235	272	29	1
236	272	29	1
238	272	29	2
241	272	29	1
251	272	29	2
182	273	29	2
207	273	29	1
225	273	29	1
236	273	29	3
249	273	29	1
213	274	29	1
214	274	29	1
235	274	29	1
238	274	29	1
239	274	29	1
247	274	29	1
250	274	29	1
184	275	29	2
206	275	29	2
215	275	29	2
231	275	29	1
232	275	29	1
237	275	29	2
239	275	29	1
240	275	29	1
245	275	29	1
204	276	29	1
206	276	29	2
232	276	29	1
233	276	29	2
234	276	29	1
236	276	29	1
238	276	29	1
240	276	29	1
248	276	29	1
252	276	29	3
205	277	29	1
232	277	29	1
236	277	29	1
238	277	29	1
240	277	29	1
247	277	29	1
204	278	29	1
208	278	29	2
236	278	29	1
237	278	29	2
238	278	29	3
239	278	29	1
245	278	29	1
250	278	29	1
234	279	29	5
235	279	29	1
245	279	29	2
246	279	29	2
247	279	29	2
252	279	29	1
205	280	29	2
233	280	29	1
234	280	29	1
235	280	29	2
236	280	29	1
237	280	29	1
238	280	29	1
241	280	29	1
245	280	29	1
246	280	29	1
247	280	29	2
249	280	29	5
250	280	29	1
251	280	29	1
252	280	29	1
254	280	29	2
256	280	29	1
208	281	29	1
214	281	29	2
232	281	29	1
233	281	29	1
245	281	29	2
246	281	29	1
247	281	29	1
251	281	29	2
206	282	29	2
241	282	29	3
246	282	29	1
250	282	29	1
254	282	29	1
236	283	29	1
241	283	29	2
244	283	29	1
245	283	29	1
246	283	29	1
249	283	29	1
251	283	29	2
211	284	29	2
220	284	29	1
222	284	29	1
232	284	29	1
233	284	29	1
234	284	29	1
235	284	29	3
238	284	29	2
245	284	29	1
246	284	29	1
248	284	29	1
249	284	29	1
252	284	29	1
256	284	29	1
219	285	29	2
227	285	29	1
233	285	29	1
234	285	29	1
238	285	29	2
240	285	29	2
241	285	29	1
247	285	29	1
248	285	29	2
250	285	29	2
254	285	29	1
233	286	29	2
235	286	29	1
240	286	29	2
241	286	29	1
243	286	29	1
247	286	29	1
248	286	29	2
249	286	29	1
225	287	29	1
226	287	29	4
228	287	29	1
233	287	29	1
236	287	29	2
238	287	29	2
240	287	29	1
241	287	29	1
244	287	29	2
245	287	29	3
232	288	29	1
233	288	29	2
234	288	29	1
235	288	29	2
236	288	29	1
240	288	29	1
241	288	29	3
243	288	29	2
244	288	29	2
245	288	29	1
246	288	29	1
224	289	29	2
225	289	29	2
227	289	29	1
228	289	29	1
234	289	29	2
235	289	29	2
243	289	29	4
244	289	29	2
254	289	29	1
222	290	29	1
226	290	29	1
228	290	29	1
237	290	29	1
239	290	29	2
240	290	29	2
242	290	29	2
243	290	29	1
245	290	29	3
247	290	29	1
241	291	29	1
245	291	29	2
249	291	29	1
225	292	29	2
227	292	29	2
236	292	29	1
242	292	29	1
243	292	29	2
245	292	29	1
248	292	29	2
222	293	29	2
227	293	29	3
237	293	29	1
242	293	29	1
247	293	29	2
249	293	29	1
252	293	29	1
253	293	29	1
224	294	29	1
236	294	29	1
241	294	29	2
242	294	29	1
243	294	29	1
246	294	29	1
251	294	29	1
220	295	29	4
223	295	29	1
241	295	29	1
244	295	29	2
247	295	29	1
219	296	29	2
222	296	29	1
223	296	29	3
239	296	29	1
246	296	29	1
249	296	29	1
252	296	29	1
253	296	29	4
227	297	29	1
239	297	29	1
241	297	29	3
242	297	29	1
243	297	29	1
246	297	29	2
247	297	29	3
215	298	29	1
219	298	29	1
224	298	29	1
226	298	29	1
245	298	29	1
247	298	29	1
221	299	29	1
222	299	29	1
226	299	29	1
237	299	29	1
239	299	29	2
225	300	29	1
226	300	29	1
235	300	29	2
236	300	29	2
237	300	29	1
240	300	29	1
221	301	29	1
223	301	29	1
225	301	29	1
230	301	29	3
238	301	29	2
241	301	29	2
247	301	29	1
224	302	29	1
235	302	29	1
240	303	29	1
237	304	29	2
236	305	29	2
229	250	30	1
225	251	30	5
215	252	30	2
233	252	30	1
228	253	30	1
232	253	30	1
215	254	30	2
230	254	30	1
231	254	30	1
232	254	30	1
233	254	30	1
235	254	30	3
215	255	30	2
227	255	30	2
232	255	30	1
229	256	30	1
231	256	30	1
192	257	30	1
203	257	30	2
204	257	30	1
209	257	30	1
215	257	30	2
227	257	30	1
228	257	30	1
229	257	30	1
230	257	30	1
203	258	30	1
215	258	30	1
226	258	30	2
236	258	30	1
237	258	30	2
175	259	30	2
183	259	30	2
189	259	30	1
195	259	30	1
205	259	30	1
206	259	30	2
209	259	30	1
210	259	30	2
214	259	30	2
216	259	30	1
219	259	30	2
220	259	30	1
222	259	30	1
224	259	30	1
226	259	30	1
228	259	30	1
231	259	30	2
232	259	30	2
234	259	30	2
184	260	30	1
186	260	30	2
190	260	30	1
196	260	30	2
212	260	30	3
219	260	30	1
223	260	30	1
225	260	30	1
227	260	30	2
228	260	30	1
231	260	30	1
232	260	30	1
237	260	30	1
238	260	30	1
239	260	30	1
240	260	30	2
245	260	30	2
184	261	30	1
186	261	30	1
188	261	30	2
196	261	30	1
199	261	30	1
208	261	30	1
212	261	30	2
215	261	30	1
217	261	30	3
218	261	30	1
225	261	30	1
226	261	30	1
229	261	30	2
232	261	30	1
236	261	30	1
238	261	30	1
249	261	30	1
187	262	30	2
193	262	30	2
206	262	30	1
209	262	30	2
216	262	30	1
218	262	30	1
219	262	30	1
221	262	30	1
223	262	30	4
225	262	30	1
227	262	30	1
231	262	30	1
233	262	30	3
245	262	30	1
247	262	30	2
249	262	30	3
251	262	30	1
185	263	30	1
186	263	30	1
189	263	30	1
193	263	30	2
210	263	30	1
211	263	30	1
215	263	30	2
218	263	30	1
222	263	30	1
228	263	30	1
232	263	30	1
242	263	30	1
246	263	30	1
247	263	30	1
248	263	30	1
178	264	30	1
188	264	30	1
194	264	30	1
222	264	30	2
227	264	30	3
228	264	30	1
231	264	30	1
232	264	30	1
233	264	30	1
236	264	30	1
238	264	30	1
240	264	30	2
245	264	30	1
246	264	30	1
249	264	30	3
183	265	30	2
192	265	30	3
193	265	30	2
196	265	30	1
197	265	30	1
205	265	30	1
210	265	30	2
212	265	30	1
213	265	30	1
214	265	30	3
217	265	30	1
219	265	30	1
224	265	30	2
231	265	30	1
233	265	30	2
239	265	30	1
246	265	30	1
247	265	30	3
248	265	30	1
184	266	30	1
188	266	30	1
194	266	30	2
195	266	30	1
197	266	30	1
211	266	30	1
212	266	30	1
213	266	30	1
214	266	30	2
228	266	30	1
229	266	30	2
230	266	30	2
231	266	30	2
233	266	30	2
238	266	30	1
239.5	266.5	30.5	1
241	266	30	1
247	266	30	1
249	266	30	1
189	267	30	2
192	267	30	1
194	267	30	2
196	267	30	2
208	267	30	1
209	267	30	1
214	267	30	2
219	267	30	1
228	267	30	1
231	267	30	1
232	267	30	1
235	267	30	1
238	267	30	3
239	267	30	1
240	267	30	1
245	267	30	1
248	267	30	1
250	267	30	1
172	268	30	1
207	268	30	1
211	268	30	1
214	268	30	1
228	268	30	2
235	268	30	2
239	268	30	2
240	268	30	2
245	268	30	1
247	268	30	2
250	268	30	1
172	269	30	2
177	269	30	1
191	269	30	1
193	269	30	1
194	269	30	1
196	269	30	1
213	269	30	1
214	269	30	1
215	269	30	1
219	269	30	1
222	269	30	1
232	269	30	2
233	269	30	3
236	269	30	1
237	269	30	1
239	269	30	1
240	269	30	2
242	269	30	2
244	269	30	2
245	269	30	2
248	269	30	2
178	270	30	1
179	270	30	1
184	270	30	1
194	270	30	5
195	270	30	1
197	270	30	2
205	270	30	3
207	270	30	2
214	270	30	1
217	270	30	1
227	270	30	1
230	270	30	3
231	270	30	3
232	270	30	2
234	270	30	1
249	270	30	1
175	271	30	3
181	271	30	2
185	271	30	2
187	271	30	1
188	271	30	1
193	271	30	2
194	271	30	1
201	271	30	1
207	271	30	2
208	271	30	1
211	271	30	2
212	271	30	2
215	271	30	1
234	271	30	3
238	271	30	2
239	271	30	1
