x	y	z	tRNA processing
216.157603775171	275.673637444315	34.5586340221659	2
239	272	24	1
237	278	24	3
241	279	24	1
244	286	24	2
239	287	24	2
245	287	24	2
246	287	24	1
247	289	24	1
249	289	24	1
244	290	24	1
244	291	24	1
232	265	25	2
238	270	25	1
234	271	25	1
238	272	25	2
239	272	25	1
238	273	25	1
230	274	25	1
232	274	25	1
233	274	25	3
234	274	25	2
238	274	25	1
236	275	25	1
237	275	25	2
234	276	25	2
239	276	25	2
240	276	25	1
237	277	25	1
247	277	25	2
234	278	25	1
236	278	25	2
231	279	25	1
232	279	25	2
234	279	25	1
235	279	25	1
237	279	25	3
238	279	25	1
239	279	25	1
241	279	25	1
249	279	25	1
233	280	25	2
234	280	25	1
236	280	25	1
239	280	25	2
245	280	25	1
231	281	25	3
234	281	25	2
240	281	25	1
241	281	25	1
245	281	25	3
248	281	25	3
249	281	25	1
214	282	25	2
231	282	25	2
232	282	25	2
233	282	25	1
235	282	25	1
237	282	25	1
247	282	25	2
248	282	25	1
249	282	25	1
230	283	25	3
231	283	25	1
233	283	25	1
234	283	25	1
235	283	25	1
236	283	25	1
238	283	25	1
240	283	25	1
241	283	25	1
246	283	25	1
213	284	25	2
233	284	25	1
235	284	25	3
243	284	25	1
244	284	25	1
249	284	25	2
250	284	25	1
252	284	25	3
232	285	25	1
235	285	25	2
237	285	25	1
241	285	25	1
246	285	25	1
252	285	25	2
253	285	25	1
233	286	25	1
235	286	25	1
240	286	25	1
241	286	25	1
242	286	25	1
243	286	25	2
245	286	25	1
250	286	25	1
254	286	25	1
238	287	25	2
242	287	25	1
246	287	25	2
235	288	25	1
237	288	25	1
239	288	25	1
250	288	25	1
251	288	25	1
235	289	25	2
236	289	25	1
237	289	25	2
241	289	25	1
244	289	25	1
234	290	25	1
235	290	25	1
237	290	25	1
244	290	25	1
249	290	25	1
250	290	25	1
234	291	25	2
235	291	25	1
238	291	25	1
240	291	25	2
242	291	25	1
245	291	25	1
251	291	25	1
227	292	25	1
239	292	25	1
242	292	25	1
243	292	25	1
249	292	25	1
239	293	25	2
243	293	25	1
247	293	25	3
239	294	25	1
240	294	25	1
242	294	25	1
240	295	25	1
245	295	25	1
238	296	25	2
239	296	25	2
242	296	25	1
244	296	25	2
243	297	25	1
240	298	25	1
241	299	25	1
227	300	25	3
239	302	25	1
229	264	26	1
230	264	26	1
231	264	26	1
232	265	26	1
230	267	26	1
241	267	26	1
235	268	26	1
241	268	26	2
229	269	26	2
237	269	26	2
227	270	26	2
228	270	26	1
233	270	26	2
237	270	26	1
238	270	26	1
240	270	26	2
229	271	26	3
235	271	26	1
240	271	26	1
223	272	26	1
230	272	26	3
236	272	26	3
236	273	26	1
237	275	26	1
245	275	26	1
248	275	26	2
249	275	26	1
250	275	26	1
215	276	26	3
238	276	26	3
248	276	26	2
231	277	26	2
235	277	26	1
247	277	26	2
249	277	26	2
250	277	26	1
232	278	26	1
234	278	26	1
240	278	26	2
249	278	26	1
252	278	26	1
207	279	26	3
239	279	26	1
241	279	26	1
246	279	26	1
248	279	26	1
249	279	26	1
250	279	26	1
208	280	26	5
230	280	26	1
236	280	26	1
240	280	26	1
248	280	26	1
249	280	26	1
230	281	26	1
234	281	26	1
239	281	26	1
244	281	26	1
250	281	26	3
209	282	26	1
215	282	26	1
233	282	26	1
235	282	26	2
237	282	26	1
238	282	26	1
245	282	26	1
246	282	26	2
247	282	26	1
250	282	26	1
253	282	26	2
227	283	26	1
238	283	26	1
239	283	26	1
241	283	26	2
245	283	26	1
252	283	26	4
253	283	26	1
233	284	26	2
236	284	26	1
237	284	26	1
238	284	26	1
241	284	26	1
242	284	26	1
243	284	26	1
244	284	26	1
245	284	26	2
246	284	26	1
211	285	26	1
