x	y	z	Vitamin B5 (pantothenate) metabolism
123	222	20	2
142	222	20	1
176	222	20	1
178	222	20	2
148	223	20	1
134	224	20	1
155	224	20	2
172	224	20	2
175	224	20	1
153	225	20	1
157	225	20	2
176	225	20	1
158	226	20	1
172	226	20	1
160	227	20	1
128	228	20	1
155	228	20	1
197	228	20	2
118	229	20	1
126	229	20	1
153	229	20	2
159	229	20	1
160	229	20	1
169	230	20	1
173	230	20	2
190	230	20	1
132	231	20	2
149	231	20	1
161	231	20	2
170	231	20	1
199	231	20	1
135	232	20	1
142	232	20	1
130	233	20	1
143	233	20	1
169	233	20	1
170	233	20	2
206	233	20	1
130	234	20	1
132	234	20	1
135	234	20	1
138	234	20	1
213	234	20	1
215	234	20	1
129	235	20	1
136	235	20	2
145	235	20	1
158	235	20	2
206	235	20	1
216	235	20	1
220	235	20	1
159	236	20	1
163	236	20	1
135	237	20	1
148	237	20	1
154	237	20	2
173	237	20	1
202	237	20	1
232	237	20	3
141	238	20	1
143	238	20	2
145	238	20	1
150	238	20	2
158	238	20	1
192	238	20	1
128	239	20	2
139	239	20	1
144	239	20	1
151	239	20	2
172	239	20	1
102	240	20	1
118	240	20	3
131	240	20	1
214	240	20	1
216	240	20	1
126	241	20	1
127	241	20	1
135	241	20	2
138	241	20	1
139	241	20	1
146	241	20	1
149	241	20	1
157	241	20	1
167	241	20	1
237	241	20	2
123	242	20	1
136	242	20	1
141	242	20	1
207	242	20	1
237	242	20	2
116	243	20	1
140	243	20	1
181	243	20	1
240	243	20	1
123	244	20	1
135	244	20	1
154	244	20	1
162	244	20	1
188	244	20	1
207	244	20	1
213	244	20	1
214	244	20	2
242	244	20	1
111	245	20	2
182	245	20	1
214	245	20	1
241	245	20	2
122	246	20	1
215	246	20	1
133	247	20	1
140	247	20	1
248	247	20	1
141	248	20	1
158	248	20	1
166	248	20	1
175	248	20	1
190	248	20	1
215	248	20	1
222	248	20	2
233	248	20	1
167	249	20	1
191	249	20	1
101	250	20	2
119	250	20	1
131	250	20	1
162	250	20	2
175	250	20	3
207	251	20	1
218	251	20	1
220	251	20	1
122	252	20	1
161	252	20	1
212	252	20	2
218	252	20	1
234	252	20	2
154	253	20	1
161	253	20	2
175	253	20	1
111	254	20	1
148	254	20	1
154	254	20	1
161	254	20	1
180	254	20	1
217	254	20	1
226	254	20	1
244	254	20	1
248	254	20	1
255	254	20	1
121	255	20	2
198	255	20	1
251	255	20	1
145	256	20	1
157	256	20	2
166	256	20	2
172	256	20	3
204	256	20	3
227	256	20	1
241	256	20	1
159	257	20	1
162	257	20	1
164	257	20	1
170	257	20	1
175	257	20	1
177	257	20	1
234	257	20	1
243	257	20	1
258	257	20	1
162	258	20	2
163	258	20	1
175	258	20	1
215	258	20	2
233	258	20	1
136	259	20	1
144	259	20	1
145	259	20	1
193	259	20	1
203	259	20	2
229	259	20	1
231	259	20	1
252	259	20	1
265	259	20	1
130	260	20	1
158	260	20	1
245	260	20	2
102	261	20	1
112	261	20	1
140	261	20	1
141	261	20	1
228	261	20	1
118	262	20	1
124	262	20	2
144	262	20	2
152	262	20	1
156	262	20	1
225	262	20	1
230	262	20	2
210	263	20	2
265	263	20	1
105	264	20	1
126	264	20	2
187	264	20	1
264	264	20	1
134	265	20	1
236	265	20	1
118	266	20	1
132	266	20	2
136	266	20	1
160	266	20	1
179	266	20	2
211	266	20	2
231	266	20	1
168	267	20	1
262	267	20	2
266	267	20	3
109	268	20	2
141	268	20	1
212	268	20	1
107	269	20	1
149	269	20	1
167	269	20	1
184	269	20	2
246	269	20	1
257	269	20	2
100	270	20	1
118	270	20	1
125	270	20	3
155	270	20	1
156	270	20	2
162	270	20	1
166	270	20	1
210	270	20	2
119	271	20	1
128	271	20	1
167	271	20	1
173	271	20	3
201	271	20	1
225	271	20	1
116	272	20	1
117	272	20	1
120	272	20	1
121	272	20	1
156	272	20	1
162	272	20	1
166	272	20	1
169	272	20	1
174	272	20	1
175	272	20	1
176	272	20	2
101	273	20	1
132	273	20	1
152	273	20	1
165	273	20	1
167	273	20	2
176	273	20	1
207	273	20	1
211	273	20	2
122	274	20	1
159	274	20	1
167	274	20	1
197	274	20	1
214	274	20	1
230	274	20	1
131	275	20	1
147	275	20	1
174	275	20	1
176	275	20	1
200	275	20	1
205	275	20	1
221	275	20	1
110	276	20	1
126	276	20	1
137	276	20	1
142	276	20	1
155	276	20	2
163	276	20	2
167	276	20	1
174	276	20	1
154	277	20	1
171	277	20	2
219	277	20	1
227	277	20	1
129	278	20	2
164	278	20	1
168	278	20	1
170	278	20	1
176	278	20	1
208	278	20	2
256	278	20	1
270	278	20	1
120	279	20	1
163	279	20	2
175	279	20	2
200	279	20	1
222	279	20	1
232	279	20	4
241	279	20	1
108	280	20	1
132	280	20	1
133	280	20	1
163	280	20	1
166	280	20	1
174	280	20	1
197	280	20	1
199	280	20	1
134	281	20	2
147	281	20	1
169	281	20	2
172	281	20	1
176	281	20	1
222	281	20	1
261	281	20	1
152	282	20	1
162	282	20	2
172	282	20	1
181	282	20	1
203	282	20	1
219	282	20	1
269	282	20	3
161	283	20	1
167	283	20	1
171	283	20	1
190	283	20	2
203	283	20	1
216	283	20	1
219	283	20	1
271	283	20	2
149	284	20	1
163	284	20	1
265	284	20	1
267	284	20	1
109	285	20	1
119	285	20	1
137	285	20	1
139	285	20	1
230	285	20	1
133	286	20	1
151	286	20	1
129	287	20	2
146	287	20	1
199	287	20	2
221	287	20	1
261	287	20	1
113	288	20	1
167	288	20	2
196	288	20	1
218	288	20	1
223	288	20	1
238	288	20	1
164	289	20	1
179	289	20	2
217	289	20	1
221	289	20	1
222	289	20	1
143	290	20	1
189	290	20	1
259	290	20	4
151	291	20	1
227	291	20	1
129	292	20	1
157	292	20	1
189	292	20	2
195	292	20	1
236	292	20	1
237	292	20	1
242	292	20	1
265	292	20	1
134	293	20	1
142	293	20	1
148	293	20	1
161	293	20	2
165	293	20	2
204	293	20	1
219	293	20	1
118	294	20	1
126	294	20	2
136	294	20	1
194	294	20	2
209	294	20	2
211	294	20	1
214	294	20	1
216	294	20	2
219	294	20	1
264	294	20	1
116	295	20	1
173	295	20	2
198	295	20	1
220	295	20	1
143	296	20	2
145	296	20	1
163	296	20	1
180	296	20	1
187	296	20	2
196	296	20	1
216	296	20	1
137	297	20	1
161	297	20	1
256	297	20	1
