x	y	z	Glycolysis
244	284	21	1
240	286	21	3
246	292	21	1
239	272	24	1
240	277	24	1
239	278	24	1
241	279	24	1
245	284	24	1
246	284	24	2
244	286	24	1
245	287	24	2
246	287	24	1
251	287	24	5
244	288	24	1
249	288	24	2
246	289	24	2
247	289	24	1
248	289	24	2
231	264	25	1
232	265	25	1
236	268	25	1
233	269	25	1
235	270	25	1
228	272	25	1
230	272	25	2
233	272	25	1
238	272	25	1
227	273	25	2
235	273	25	1
236	273	25	1
238	273	25	1
230	274	25	1
231	274	25	1
232	274	25	2
233	274	25	1
235	274	25	1
238	274	25	2
235	275	25	1
236	275	25	2
236	276	25	2
233	277	25	1
234	277	25	1
236	277	25	1
231	278	25	2
232	278	25	1
233	278	25	1
236	278	25	1
238	278	25	2
231	279	25	1
236	279	25	2
237	279	25	1
238	279	25	1
239	279	25	1
240	279	25	2
249	279	25	2
232	280	25	2
234	280	25	1
241	280	25	1
248	280	25	1
231	281	25	2
237	281	25	1
240	281	25	1
243	281	25	1
245	281	25	1
249	281	25	1
231	282	25	1
232	282	25	1
238	282	25	1
239	282	25	1
249	282	25	1
230	283	25	1
233	283	25	2
235	283	25	2
236	283	25	1
238	283	25	1
239	283	25	1
241	283	25	2
245	283	25	2
247	283	25	1
249	283	25	1
234	284	25	2
241	284	25	1
244	284	25	1
245	284	25	2
247	284	25	1
249	284	25	1
252	284	25	1
232	285	25	1
234	285	25	1
235	285	25	3
237	285	25	1
241	285	25	3
218	286	25	2
232	286	25	1
233	286	25	2
235	286	25	2
236	286	25	1
241	286	25	1
242	286	25	1
243	286	25	3
250	286	25	1
223	287	25	2
246	287	25	1
249	287	25	1
224	288	25	1
236	288	25	1
242	288	25	2
250	288	25	1
251	288	25	1
234	289	25	2
237	289	25	1
238	289	25	1
241	289	25	1
248.5	289.5	25.5	1
250	289	25	1
225	290	25	3
235	290	25	1
236	290	25	1
237	290	25	1
243	290	25	1
244	290	25	1
246	290	25	1
250	290	25	1
226	291	25	2
235	291	25	1
236	291	25	1
238	291	25	1
239	291	25	2
240	291	25	1
241	291	25	2
246	291	25	1
227	292	25	1
235	292	25	2
237	292	25	4
238	292	25	1
239	292	25	2
244	292	25	2
249	292	25	1
250	292	25	1
239	293	25	1
240	293	25	1
240	294	25	1
242	294	25	1
244	294	25	1
246	294	25	1
247	294	25	1
234	295	25	2
237	295	25	3
241	295	25	1
245	295	25	1
238	296	25	4
239	296	25	1
242	296	25	1
244	296	25	2
239	297	25	1
241	299	25	2
227	300	25	1
238	300	25	1
183	258	26	2
182	260	26	1
230	264	26	2
231	264	26	1
232	265	26	1
237	266	26	1
230	267	26	1
235	267	26	1
236	268	26	1
229	269	26	1
236	269	26	1
237	269	26	2
228	270	26	1
234	270	26	2
235	270	26	2
236	270	26	1
238	270	26	1
240	270	26	1
235	271	26	1
217	272	26	1
223	272	26	2
226	272	26	2
230	272	26	1
232	272	26	1
236	272	26	1
239	272	26	2
231	273	26	1
237	273	26	2
239	273	26	1
249	273	26	2
231	274	26	2
233	274	26	2
232	275	26	1
233	275	26	1
235	275	26	1
246	275	26	1
248	275	26	1
249	275	26	1
207	276	26	2
233	276	26	1
238	276	26	1
244	276	26	1
207	277	26	3
209	277	26	2
210	277	26	1
213	277	26	1
230	277	26	2
232	277	26	1
240	277	26	2
247	277	26	1
249	277	26	1
236	278	26	1
237	278	26	2
239	278	26	1
240	278	26	1
249	278	26	2
252	278	26	1
236	279	26	1
237	279	26	2
240	279	26	1
241	279	26	2
248	279	26	1
250	279	26	1
208	280	26	1
230	280	26	1
232	280	26	1
236	280	26	1
238	280	26	1
241	280	26	1
247	280	26	3
248	280	26	1
217	281	26	1
231	281	26	1
237	281	26	1
239	281	26	2
244	281	26	1
246	281	26	1
209	282	26	1
231	282	26	1
240	282	26	1
246	282	26	2
250	282	26	2
253	282	26	3
227	283	26	1
231	283	26	1
233	283	26	1
241	283	26	1
243	283	26	1
245	283	26	1
246	283	26	2
249	283	26	1
251	283	26	2
252	283	26	1
253	283	26	2
254	283	26	1
215	284	26	2
232	284	26	1
236	284	26	1
243	284	26	1
246	284	26	1
250	284	26	2
234	285	26	1
235	285	26	1
241	285	26	2
245	285	26	2
246	285	26	1
250	285	26	1
254	285	26	2
233	286	26	1
235	286	26	1
243	286	26	3
248	286	26	2
249	286	26	1
250	286	26	1
252	286	26	1
253	286	26	1
254	286	26	1
232	287	26	2
234	287	26	1
237	287	26	1
238	287	26	1
247	287	26	2
251	287	26	1
252	287	26	1
235	288	26	2
236	288	26	1
241	288	26	3
243	288	26	2
245	288	26	1
249	288	26	1
250	288	26	1
252	288	26	3
253	288	26	1
231	289	26	1
232	289	26	2
234	289	26	1
235	289	26	2
236	289	26	1
237	289	26	3
238	289	26	1
240	289	26	1
248	289	26	5
251	289	26	1
233	290	26	1
236	290	26	1
237	290	26	3
239	290	26	3
242	290	26	2
244	290	26	1
250	290	26	2
222	291	26	1
232	291	26	1
235	291	26	1
237	291	26	2
238	291	26	2
239	291	26	4
240	291	26	1
242	291	26	1
244	291	26	2
249	291	26	1
250	291	26	1
225	292	26	1
226	292	26	1
227	292	26	1
240	292	26	1
242	292	26	1
246	292	26	3
254	292	26	3
236	293	26	1
239	293	26	2
240	293	26	5
244	293	26	1
245	293	26	1
246	293	26	2
247	293	26	1
253	293	26	2
220	294	26	1
235	294	26	1
237	294	26	1
