x	y	z	Interleukin-1 signaling
219	276	27	1
222	276	27	1
227	276	27	1
230	276	27	1
232	276	27	2
240	276	27	1
244	276	27	2
246	276	27	2
250	276	27	4
252	276	27	1
205	277	27	1
207	277	27	1
210	277	27	1
212	277	27	3
218	277	27	1
219	277	27	2
227	277	27	2
231	277	27	1
232	277	27	1
235	277	27	3
236	277	27	1
239	277	27	2
240	277	27	1
243	277	27	2
246	277	27	2
248	277	27	1
249	277	27	2
252	277	27	3
206	278	27	1
209	278	27	1
214	278	27	2
219	278	27	2
220	278	27	2
221	278	27	1
224	278	27	1
225	278	27	2
227	278	27	1
230	278	27	1
231	278	27	2
232	278	27	1
233	278	27	2
234	278	27	2
235	278	27	1
239	278	27	1
244	278	27	4
245	278	27	2
248	278	27	2
250	278	27	1
251	278	27	1
252	278	27	1
201	279	27	1
207	279	27	1
210	279	27	2
219	279	27	2
230	279	27	1
231	279	27	2
235	279	27	2
236	279	27	1
238	279	27	1
240	279	27	2
243	279	27	1
246	279	27	1
248	279	27	1
249	279	27	1
250	279	27	2
257	279	27	2
205	280	27	2
209	280	27	2
214	280	27	1
233	280	27	1
234	280	27	1
238	280	27	1
239	280	27	2
242	280	27	2
244	280	27	1
246	280	27	1
247	280	27	2
250	280	27	1
252	280	27	2
256	280	27	1
214	281	27	1
215	281	27	2
222	281	27	2
228	281	27	1
230	281	27	2
233	281	27	1
234	281	27	1
235	281	27	2
236	281	27	1
240	281	27	1
241	281	27	2
243	281	27	1
245	281	27	1
248	281	27	1
249	281	27	1
254	281	27	2
257	281	27	2
206	282	27	1
209	282	27	1
210	282	27	1
213	282	27	1
214	282	27	1
215	282	27	1
216	282	27	2
217	282	27	1
227	282	27	1
240	282	27	1
241	282	27	1
242	282	27	1
244	282	27	1
245	282	27	2
246	282	27	1
250	282	27	1
252	282	27	1
253	282	27	1
206	283	27	2
208	283	27	1
209	283	27	3
210	283	27	1
215	283	27	1
216	283	27	1
221	283	27	1
227	283	27	2
228	283	27	1
231	283	27	1
232	283	27	1
235	283	27	2
239	283	27	2
240	283	27	1
243	283	27	1
244	283	27	1
245	283	27	1
247	283	27	1
248	283	27	1
249	283	27	2
251	283	27	1
255	283	27	1
256	283	27	1
206	284	27	1
207	284	27	2
208	284	27	1
209	284	27	3
213	284	27	1
214	284	27	1
215	284	27	1
230	284	27	1
232	284	27	1
235	284	27	2
236	284	27	2
237	284	27	2
240	284	27	1
241	284	27	1
249	284	27	2
250	284	27	1
252	284	27	1
255	284	27	1
256	284	27	4
204	285	27	2
206	285	27	1
208	285	27	1
210	285	27	4
211	285	27	1
212	285	27	2
215	285	27	2
220	285	27	1
223	285	27	3
224	285	27	1
234	285	27	2
235	285	27	1
236	285	27	2
237	285	27	1
238	285	27	1
240	285	27	1
246	285	27	2
247	285	27	1
250	285	27	2
254	285	27	2
255	285	27	2
206	286	27	1
214	286	27	2
216	286	27	1
218	286	27	1
219	286	27	2
225	286	27	1
233	286	27	1
234	286	27	2
236	286	27	1
239	286	27	1
241	286	27	1
244	286	27	1
245	286	27	1
246	286	27	2
248	286	27	3
249	286	27	1
252	286	27	1
255	286	27	1
207	287	27	1
210	287	27	1
214	287	27	1
222	287	27	2
223	287	27	2
227	287	27	3
228	287	27	1
230	287	27	2
232	287	27	1
233	287	27	1
236	287	27	1
238	287	27	3
239	287	27	2
240	287	27	1
241	287	27	2
242	287	27	3
243	287	27	1
247	287	27	2
248	287	27	1
249	287	27	2
250	287	27	1
251	287	27	2
256	287	27	1
204	288	27	2
207	288	27	1
214	288	27	4
222	288	27	1
223	288	27	1
225	288	27	2
228	288	27	1
231	288	27	1
232	288	27	2
235	288	27	1
240	288	27	1
241	288	27	2
242	288	27	2
243	288	27	1
245	288	27	1
246	288	27	1
249	288	27	2
252	288	27	2
223	289	27	1
225	289	27	1
226	289	27	1
234	289	27	3
235	289	27	1
236	289	27	1
239	289	27	1
240	289	27	5
241	289	27	1
242	289	27	4
243	289	27	1
246	289	27	2
251	289	27	1
254	289	27	1
256	289	27	1
207	290	27	1
219	290	27	1
221	290	27	2
222	290	27	1
225	290	27	1
226	290	27	2
227	290	27	1
231	290	27	1
232	290	27	1
234	290	27	2
235	290	27	1
236	290	27	1
240	290	27	1
241	290	27	1
243	290	27	2
246	290	27	2
247	290	27	1
249	290	27	2
250	290	27	1
251	290	27	2
252	290	27	1
253	290	27	2
213	291	27	1
221	291	27	1
224	291	27	1
225	291	27	1
227	291	27	3
236	291	27	1
237	291	27	2
238	291	27	1
242	291	27	2
243	291	27	1
246	291	27	2
248	291	27	2
249	291	27	2
252	291	27	2
213	292	27	1
220	292	27	1
222	292	27	1
223	292	27	1
225	292	27	1
226	292	27	1
227	292	27	1
228	292	27	1
229	292	27	2
234	292	27	1
235	292	27	2
237	292	27	1
238	292	27	1
239	292	27	1
241	292	27	1
246	292	27	3
247	292	27	1
249	292	27	1
251	292	27	1
252	292	27	1
210	293	27	1
211	293	27	2
220	293	27	1
224	293	27	1
227	293	27	2
234	293	27	4
243	293	27	1
247	293	27	1
248	293	27	1
249	293	27	2
250	293	27	1
253	293	27	2
254	293	27	1
256	293	27	1
211	294	27	2
219	294	27	1
220	294	27	5
224	294	27	2
225	294	27	2
231	294	27	1
235	294	27	1
236	294	27	3
237	294	27	1
238	294	27	2
244	294	27	2
245	294	27	1
246	294	27	1
249	294	27	1
250	294	27	2
253	294	27	1
254	294	27	1
255	294	27	1
257	294	27	1
211	295	27	2
219	295	27	2
220	295	27	1
221	295	27	1
223	295	27	1
226	295	27	2
241	295	27	1
247	295	27	1
249	295	27	1
252	295	27	1
221	296	27	2
236	296	27	2
237	296	27	1
240	296	27	1
241	296	27	1
245	296	27	1
247	296	27	1
249	296	27	1
252	296	27	1
255	296	27	1
221	297	27	1
225	297	27	2
237	297	27	1
238	297	27	1
239	297	27	1
242	297	27	2
243	297	27	1
244	297	27	1
246	297	27	3
248	297	27	1
251	297	27	2
252	297	27	3
223	298	27	1
224	298	27	1
226	298	27	1
235	298	27	1
236	298	27	2
237	298	27	1
239	298	27	1
245	298	27	1
248	298	27	2
215	299	27	2
223	299	27	1
226	299	27	2
229	299	27	1
241	299	27	3
243	299	27	1
247	299	27	1
248	299	27	1
249	299	27	2
252	299	27	2
227	300	27	1
231	300	27	1
235	300	27	1
238	300	27	1
240	300	27	1
241	300	27	1
247	300	27	2
224	301	27	2
227	301	27	2
236	301	27	1
237	301	27	1
238	301	27	1
241	301	27	2
247	301	27	1
226	302	27	1
235	302	27	2
239	302	27	1
245	302	27	2
237	304	27	1
238	304	27	1
235	305	27	2
237	305	27	1
231	264	28	2
232	264	28	2
234	266	28	3
235	266	28	1
236	267	28	4
231	268	28	1
235	268	28	2
237	268	28	1
237	269	28	1
235	270	28	1
237	270	28	1
250	270	28	1
236	271	28	1
240	271	28	2
206	272	28	1
234	272	28	2
214	274	28	2
234	274	28	1
235	274	28	2
235	275	28	1
249	275	28	3
233	276	28	1
235	276	28	1
236	277	28	2
237	277	28	1
238	277	28	1
236	278	28	1
237	278	28	1
237	279	28	1
248	279	28	1
239	280	28	1
251	280	28	1
210	281	28	1
235	281	28	1
248	281	28	2
250	281	28	3
234	282	28	1
235	282	28	1
246	282	28	1
247	282	28	1
249	282	28	2
251	282	28	1
237	283	28	1
246	283	28	1
247	283	28	1
248	284	28	2
250	284	28	1
254	284	28	2
238	285	28	2
244	285	28	2
235	286	28	1
247	286	28	2
248	286	28	2
249	286	28	2
240	287	28	1
245	287	28	1
248	287	28	1
224	288	28	2
238	288	28	1
245	288	28	1
228	289	28	2
231	289	28	1
243	289	28	1
245	289	28	3
247	289	28	1
253	289	28	1
226	290	28	1
240	290	28	1
242	290	28	2
245	290	28	1
241	291	28	4
250	291	28	1
222	292	28	1
239	292	28	1
240	292	28	1
241	292	28	1
242	292	28	1
245	292	28	1
247	292	28	3
240	293	28	1
248	293	28	1
249	293	28	2
242	294	28	3
245	294	28	1
249	294	28	4
251	294	28	1
241	295	28	1
242	295	28	2
248	295	28	2
240	296	28	2
239	297	28	2
245	297	28	2
240	298	28	3
240	299	28	1
225	300	28	1
236	300	28	2
234	256	29	3
235	256	29	1
182	257	29	1
230	257	29	2
181	258	29	1
233	258	29	1
234	258	29	1
229	259	29	2
230	259	29	1
181	260	29	2
182	260	29	2
183	261	29	2
227	261	29	1
229	261	29	1
221	262	29	1
227	262	29	3
229	262	29	1
232	263	29	1
248	263	29	2
178	264	29	1
216	264	29	1
224	264	29	1
226	264	29	1
229	264	29	1
230	264	29	3
237	264	29	1
238	264	29	1
181	265	29	1
215	265	29	1
226	265	29	1
232	265	29	2
233	265	29	1
239	265	29	1
195	266	29	2
197	266	29	2
226	266	29	1
228	266	29	2
229	266	29	2
234	266	29	1
245	266	29	1
250	266	29	2
192	267	29	2
194	267	29	1
196	267	29	1
199	267	29	3
214	267	29	1
230	267	29	2
236	267	29	1
237	267	29	1
241	267	29	1
249	267	29	2
194	268	29	1
201	268	29	2
217	268	29	1
226	268	29	1
231	268	29	2
236	268	29	2
238	268	29	1
239	268	29	2
244	268	29	2
180	269	29	2
193	269	29	1
232	269	29	1
234	269	29	2
235	269	29	1
237	269	29	2
240	269	29	1
248	269	29	1
175	270	29	2
196	270	29	1
198	270	29	2
231	270	29	1
232	270	29	2
234	270	29	2
182	271	29	4
203	271	29	1
215	271	29	1
216	271	29	2
234	271	29	1
238	271	29	1
241	271	29	1
242	271	29	1
249	271	29	2
211	272	29	3
215	272	29	1
224	272	29	1
232	272	29	3
233	272	29	1
234	272	29	1
235	272	29	2
238	272	29	1
241	272	29	1
249	272	29	1
207	273	29	1
212	273	29	1
236	273	29	2
249	273	29	1
250	273	29	1
180	274	29	1
213	274	29	3
214	274	29	2
233	274	29	1
235	274	29	1
238	274	29	1
239	274	29	1
240	274	29	2
250	274	29	1
206	275	29	2
235	275	29	1
237	275	29	2
239	275	29	1
240	275	29	1
241	275	29	2
242	275	29	2
245	275	29	2
204	276	29	1
206	276	29	3
208	276	29	2
228	276	29	2
233	276	29	2
237	276	29	1
238	276	29	1
241	276	29	2
246	276	29	1
248	276	29	2
249	276	29	1
205	277	29	1
232	277	29	1
237	277	29	2
238	277	29	1
239	277	29	2
204	278	29	1
235	278	29	1
245	278	29	1
247	278	29	2
206	279	29	1
235	279	29	2
236	279	29	1
245	279	29	1
246	279	29	2
249	279	29	5
252	279	29	1
256	279	29	2
205	280	29	3
233	280	29	1
236	280	29	1
238	280	29	2
241	280	29	3
245	280	29	2
251	280	29	4
252	280	29	1
208	281	29	2
224	281	29	6
232	281	29	1
235	281	29	1
237	281	29	1
241	281	29	2
247	281	29	1
248	281	29	1
251	281	29	2
206	282	29	1
212	282	29	1
213	282	29	2
242	282	29	2
245	282	29	1
249	282	29	3
250	282	29	1
254	282	29	1
231	283	29	1
232	283	29	1
233	283	29	1
236	283	29	3
238	283	29	3
241	283	29	2
246	283	29	1
247	283	29	1
248	283	29	1
250	283	29	2
211	284	29	1
220	284	29	3
222	284	29	1
232	284	29	1
233	284	29	2
238	284	29	1
242	284	29	1
243	284	29	1
245	284	29	1
249	284	29	2
250	284	29	1
252	284	29	2
255	284	29	2
219	285	29	1
226	285	29	2
234	285	29	2
236	285	29	1
242	285	29	1
243	285	29	1
246	285	29	1
247	285	29	1
248	285	29	1
250	285	29	1
254	285	29	1
232	286	29	1
233	286	29	1
235	286	29	1
236	286	29	2
240	286	29	1
241	286	29	1
243	286	29	2
249	286	29	1
233	287	29	2
234	287	29	1
238	287	29	2
240	287	29	1
241	287	29	2
246	287	29	2
247	287	29	1
249	287	29	2
225	288	29	1
226	288	29	1
228	288	29	1
232	288	29	1
234	288	29	1
236	288	29	1
240	288	29	1
242	288	29	2
246	288	29	1
253	288	29	2
224	289	29	2
225	289	29	1
235	289	29	1
236	289	29	1
243	289	29	1
246	289	29	1
247	289	29	2
250	289	29	2
254	289	29	2
222	290	29	1
225	290	29	1
227	290	29	1
228	290	29	1
237	290	29	1
238	290	29	1
239	290	29	1
240	290	29	2
242	290	29	1
246	290	29	1
222	291	29	2
226	291	29	1
238	291	29	1
239	291	29	1
240	291	29	2
241	291	29	3
247	291	29	2
248	291	29	1
249	291	29	2
250	291	29	1
251	291	29	2
225	292	29	1
227	292	29	1
236	292	29	1
237	292	29	1
238	292	29	3
239	292	29	1
241	292	29	1
242	292	29	1
245	292	29	1
249	292	29	1
250	292	29	1
257	292	29	1
223	293	29	1
225	293	29	1
237	293	29	1
246	293	29	2
247	293	29	1
253	293	29	1
224	294	29	1
236	294	29	2
238	294	29	1
240	294	29	2
244	294	29	1
246	294	29	2
248	294	29	2
249	294	29	3
251	294	29	1
220	295	29	1
221	295	29	1
223	295	29	2
240	295	29	1
241	295	29	2
244	295	29	1
247	295	29	2
222	296	29	1
223	296	29	2
239	296	29	1
252	296	29	1
253	296	29	3
255	296	29	1
238	297	29	2
242	297	29	1
243	297	29	2
246	297	29	1
247	297	29	1
248	297	29	1
219	298	29	1
221	298	29	2
224	298	29	2
237	298	29	2
238	298	29	1
242	298	29	2
245	298	29	1
249	298	29	2
221	299	29	1
222	299	29	2
239	299	29	1
240	299	29	1
241	299	29	1
252	299	29	1
225	300	29	1
226	300	29	2
227	300	29	1
235	300	29	1
247	300	29	1
221	301	29	1
224	301	29	1
225	301	29	1
236	301	29	1
237	304	29	1
236	305	29	1
229	250	30	2
225	251	30	1
228	251	30	1
215	252	30	1
233	252	30	1
228	253	30	1
215	254	30	3
231	254	30	1
232	254	30	3
235	254	30	2
236	254	30	1
238	254	30	1
191	255	30	1
227	255	30	1
230	255	30	1
237	255	30	2
229	256	30	1
231	256	30	1
235	256	30	1
181	257	30	1
183	257	30	1
192	257	30	1
203	257	30	1
227	257	30	1
228	257	30	1
236	257	30	1
175	258	30	1
186	258	30	1
215	258	30	2
226	258	30	1
228	258	30	2
229	258	30	2
238	258	30	2
239	258	30	2
175	259	30	1
195	259	30	1
206	259	30	1
210	259	30	3
214	259	30	1
222	259	30	1
227	259	30	4
228	259	30	1
229	259	30	2
230	259	30	1
231	259	30	1
232	259	30	2
234	259	30	3
237	259	30	1
238	259	30	2
241	259	30	2
184	260	30	1
196	260	30	1
217	260	30	1
219	260	30	3
225	260	30	2
228	260	30	1
231	260	30	1
232	260	30	1
235	260	30	1
237	260	30	1
239	260	30	1
240	260	30	1
245	260	30	1
184	261	30	3
186	261	30	1
188	261	30	2
194	261	30	1
196	261	30	1
208	261	30	2
217	261	30	3
218	261	30	2
219	261	30	1
226	261	30	1
231	261	30	1
232	261	30	2
236	261	30	2
239	261	30	2
241	261	30	1
244	261	30	1
249	261	30	3
178	262	30	1
179	262	30	2
186	262	30	1
187	262	30	1
194	262	30	1
206	262	30	1
209	262	30	1
216	262	30	3
218	262	30	3
220	262	30	1
222	262	30	1
223	262	30	1
231	262	30	1
233	262	30	1
242	262	30	1
248	262	30	1
249	262	30	1
251	262	30	1
179	263	30	1
182	263	30	1
185	263	30	1
193	263	30	1
210	263	30	1
216	263	30	2
218	263	30	1
222	263	30	2
224	263	30	1
226	263	30	1
230	263	30	3
232	263	30	2
246	263	30	2
247	263	30	1
248	263	30	2
249	263	30	1
188	264	30	2
194	264	30	1
195	264	30	1
211	264	30	1
222	264	30	1
225	264	30	2
226	264	30	1
227	264	30	4
229	264	30	4
230	264	30	1
231	264	30	1
232	264	30	1
238	264	30	2
239	264	30	1
245	264	30	1
249	264	30	2
250	264	30	1
191	265	30	1
192	265	30	3
197	265	30	1
200	265	30	2
211	265	30	4
213	265	30	1
217	265	30	2
219	265	30	1
224	265	30	1
230	265	30	1
233	265	30	1
234	265	30	1
235	265	30	1
238	265	30	1
239	265	30	2
242	265	30	1
246	265	30	1
248	265	30	2
184	266	30	1
187	266	30	2
193	266	30	1
194	266	30	1
195	266	30	2
197	266	30	2
211	266	30	1
212	266	30	1
213	266	30	5
214	266	30	1
219	266	30	1
226	266	30	1
229	266	30	1
231	266	30	1
240	266	30	1
243	266	30	1
247	266	30	1
249	266	30	1
189	267	30	1
192	267	30	1
193	267	30	1
194	267	30	1
196	267	30	1
199	267	30	1
208	267	30	3
209	267	30	1
214	267	30	1
219	267	30	2
225	267	30	1
231	267	30	1
235	267	30	1
236	267	30	2
237	267	30	1
238	267	30	1
239	267	30	1
240	267	30	1
241	267	30	2
244	267	30	1
245	267	30	2
246	267	30	2
247	267	30	1
249	267	30	4
250	267	30	1
172	268	30	1
182	268	30	2
188	268	30	1
189	268	30	1
191	268	30	1
194	268	30	1
205	268	30	1
214	268	30	1
216	268	30	1
223	268	30	1
226	268	30	1
228	268	30	1
230	268	30	1
235	268	30	2
237	268	30	1
238	268	30	1
239	268	30	1
241	268	30	2
243	268	30	1
245	268	30	1
247	268	30	3
249	268	30	2
172	269	30	1
180	269	30	1
