x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
246	292	21	1
244	287	24	1
246	287	24	2
251	287	24	1
245	288	24	1
244	289	24	1
233	269	25	1
234	271	25	1
239	272	25	1
231	274	25	1
237	275	25	1
234	276	25	1
232	277	25	1
239	279	25	1
233	280	25	1
236	280	25	1
234	281	25	1
235	281	25	1
237	281	25	1
241	281	25	1
237	282	25	1
230	283	25	1
237	283	25	1
239	283	25	3
245	283	25	1
213	284	25	1
234	284	25	1
236	284	25	1
237	284	25	1
242	284	25	1
243	284	25	1
252	284	25	1
235	285	25	1
236	285	25	1
250	285	25	2
232	286	25	1
234	286	25	1
245	286	25	1
250	286	25	1
224	288	25	1
235	289	25	1
244	289	25	1
236	290	25	1
237	290	25	1
250	290	25	1
235	291	25	1
238	291	25	1
242	291	25	1
245	291	25	1
251	291	25	1
238	292	25	1
239	292	25	1
244	293	25	1
240	294	25	1
241	295	25	1
242	296	25	1
182	260	26	1
228	270	26	1
234	270	26	1
236	270	26	1
240	271	26	1
217	272	26	1
224	272	26	1
233	274	26	1
232	275	26	2
233	275	26	1
237	275	26	1
245	275	26	1
235	278	26	2
251	278	26	1
231	279	26	1
237	279	26	1
239	279	26	1
249	279	26	1
250	279	26	1
232	280	26	1
241	280	26	1
249	280	26	1
236	281	26	1
237	281	26	1
240	281	26	1
246	281	26	1
248	281	26	1
209	282	26	1
246	282	26	1
231	283	26	1
233	283	26	1
214	284	26	1
232	284	26	1
235	284	26	1
242	284	26	1
250	284	26	1
211	285	26	1
236	285	26	1
253	285	26	1
216	286	26	1
232	286	26	1
233	286	26	1
251	286	26	2
236	287	26	2
249	287	26	1
236	288	26	1
250	288	26	1
233	289	26	1
251	289	26	2
229	291	26	1
246	291	26	1
227	292	26	1
239	292	26	1
240	292	26	1
245	292	26	1
249	292	26	1
251	292	26	1
252	292	26	1
254	292	26	1
234	293	26	1
236	293	26	1
220	294	26	1
249	294	26	1
235	296	26	1
241	296	26	1
240	298	26	1
236	299	26	1
243	299	26	1
241	300	26	1
231	259	27	1
228	260	27	1
177	261	27	1
182	261	27	2
183	261	27	1
186	261	27	2
220	261	27	1
227	261	27	1
235	261	27	1
239	261	27	1
227	262	27	1
232	262	27	1
179	263	27	1
183	263	27	2
185	263	27	1
215	263	27	1
225	263	27	1
231	263	27	1
233	263	27	1
239	263	27	1
209	264	27	1
222	264	27	1
225	264	27	1
237	264	27	1
240	264	27	1
248	264	27	1
212	265	27	1
233	265	27	1
234	265	27	1
238	265	27	1
240	265	27	1
201	266	27	1
217	266	27	1
221	266	27	2
227	266	27	1
231	266	27	1
232	266	27	1
230	267	27	2
234	267	27	2
236	267	27	1
250	267	27	1
214	268	27	1
226	268	27	1
239	268	27	1
177	269	27	1
180	269	27	1
205	269	27	1
211	269	27	1
215	269	27	1
227	269	27	1
232	269	27	1
241	269	27	1
192	270	27	1
228	270	27	1
239	270	27	1
244	270	27	1
181	271	27	1
206	271	27	1
209	271	27	1
217	271	27	1
223	271	27	1
228	271	27	1
235	271	27	1
243	271	27	1
179	272	27	1
181	272	27	1
208	272	27	1
222	272	27	2
228	272	27	1
241	272	27	1
249	272	27	1
250	272	27	1
183	273	27	1
203	273	27	1
207	273	27	1
212	273	27	1
214	273	27	1
215	273	27	1
223	273	27	1
231	273	27	1
234	273	27	1
249	273	27	1
206	274	27	1
209	274	27	1
226	274	27	1
227	274	27	1
229	274	27	1
250	274	27	1
206	275	27	1
228	275	27	2
230	275	27	1
244	275	27	1
247	275	27	1
249	275	27	1
209	276	27	1
211	276	27	1
212	276	27	1
245	276	27	1
204	277	27	1
211	277	27	1
218	277	27	1
219	277	27	1
220	277	27	1
252	277	27	1
229	278	27	2
238	279	27	1
239	279	27	1
240	279	27	1
249	279	27	1
252	279	27	1
210	280	27	1
233	280	27	1
247	280	27	1
218	281	27	1
236	281	27	1
238	281	27	1
239	281	27	1
241	281	27	2
249	281	27	1
206	282	27	1
209	282	27	2
215	282	27	2
217	282	27	1
229	282	27	1
238	282	27	1
240	282	27	1
241	282	27	3
244	282	27	2
248	282	27	1
218	283	27	2
240	283	27	1
242	283	27	1
244	283	27	2
256	283	27	1
212	284	27	1
230	284	27	2
236	284	27	1
240	284	27	1
251	284	27	1
255	284	27	1
256	284	27	1
200	285	27	1
209	285	27	2
210	285	27	1
220	285	27	1
224	285	27	1
233	285	27	1
237	285	27	1
256	285	27	1
204	286	27	1
207	286	27	1
226	286	27	1
232	286	27	1
233	286	27	1
245	286	27	1
258	286	27	1
210	287	27	1
230	287	27	1
231	287	27	1
234	287	27	2
246	287	27	1
247	287	27	1
207	288	27	2
225	288	27	1
229	288	27	1
236	288	27	1
240	288	27	2
243	288	27	2
251	288	27	1
210	289	27	1
235	289	27	1
236	289	27	1
238	289	27	1
249	289	27	1
253	289	27	1
214	290	27	1
222	290	27	1
234	290	27	1
237	290	27	1
253	290	27	1
210	291	27	1
228	291	27	1
251	291	27	1
212	292	27	1
229	292	27	1
244	292	27	1
246	292	27	2
249	292	27	1
254	292	27	1
223	293	27	1
234	293	27	1
240	293	27	1
243	293	27	1
244	293	27	1
217	294	27	1
224	294	27	1
231	294	27	1
249	294	27	2
257	294	27	1
241	295	27	1
248	295	27	1
251	295	27	1
220	296	27	1
236	296	27	1
239	296	27	1
241	296	27	1
245	296	27	1
246	296	27	1
252	296	27	1
220	297	27	2
221	297	27	1
238	297	27	1
242	297	27	1
244	297	27	1
253	297	27	2
226	298	27	1
238	298	27	1
223	299	27	1
236	299	27	1
237	299	27	1
237	300	27	1
239	300	27	1
244	300	27	1
234	301	27	1
238	301	27	1
239	301	27	1
234	302	27	1
235	302	27	1
244	302	27	1
236	267	28	1
235	268	28	1
237	268	28	1
236	271	28	1
240	271	28	1
211	273	28	1
237	278	28	1
235	281	28	1
246	283	28	1
247	283	28	1
235	284	28	1
254	284	28	1
247	286	28	1
249	286	28	1
248	287	28	2
251	287	28	1
238	288	28	1
227	289	28	1
228	289	28	1
231	289	28	1
246	289	28	1
226	290	28	1
237	291	28	3
239	291	28	1
250	291	28	3
243	293	28	1
235	256	29	1
181	258	29	1
228	258	29	1
182	259	29	1
187	261	29	1
221	262	29	1
231	263	29	1
248	263	29	1
226	264	29	1
245	264	29	1
226	265	29	1
