x	y	z	DNA Damage/Telomere Stress Induced Senescence
239	272	24	1
235	278	24	1
251	287	24	1
243	288	24	1
247	289	24	1
232	265	25	1
231	268	25	2
233	272	25	1
239	272	25	2
227	273	25	1
235	273	25	2
236	273	25	1
230	274	25	2
235	274	25	1
238	275	25	1
232.5	276.5	25.5	2
234	276	25	1
235	276	25	1
237	276	25	2
232	277	25	1
234	277	25	1
237	277	25	1
247	277	25	2
234	278	25	1
238	278	25	1
236	279	25	1
247	279	25	1
236	280	25	2
235	281	25	1
237	281	25	2
241	281	25	2
243	281	25	2
245	281	25	2
248	281	25	1
249	281	25	1
231	282	25	1
233	282	25	1
245	282	25	1
247	282	25	2
231	283	25	1
238	283	25	1
241	283	25	1
245	283	25	1
235	284	25	1
237	284	25	1
242	284	25	1
237	285	25	1
248	285	25	1
218	286	25	2
232	286	25	1
234	286	25	1
240	286	25	1
252	286	25	1
254	286	25	1
238	287	25	1
242	287	25	1
245	287	25	1
239	288	25	1
237	289	25	1
242	289	25	2
252	289	25	1
225	290	25	1
235	290	25	4
238	290	25	1
235	291	25	1
236	291	25	1
240	291	25	2
246	291	25	2
250	291	25	1
251	291	25	1
235	292	25	1
237	292	25	3
239	292	25	1
239	293	25	1
240	293	25	1
240	295	25	1
241	295	25	1
245	295	25	1
239	296	25	1
244	296	25	1
246	296	25	1
247	296	25	1
240	298	25	1
239	302	25	1
229	262	26	2
232	263	26	1
230	264	26	1
241	267	26	1
236	268	26	3
228	270	26	2
233	270	26	1
236	270	26	2
237	270	26	1
240	271	26	1
215	272	26	1
224	272	26	1
226	272	26	2
232	272	26	1
239	272	26	1
249	273	26	1
236	274	26	1
232	275	26	1
215	276	26	1
233	276	26	1
238	276	26	1
239	276	26	1
213	277	26	1
234	277	26	1
236	277	26	1
239	277	26	2
240	277	26	1
231	278	26	1
232	278	26	1
235	278	26	1
239	278	26	1
240	278	26	1
207	279	26	1
236	279	26	1
248	279	26	1
232	280	26	2
234	280	26	1
247	280	26	1
249	280	26	1
217	281	26	1
232	281	26	1
234	281	26	1
237	281	26	1
246	281	26	1
231	282	26	1
231	283	26	1
251	283	26	1
238	284	26	1
242	284	26	1
244	284	26	1
253	285	26	1
254	285	26	1
216	286	26	1
247	286	26	1
248	286	26	1
251	286	26	1
253	286	26	1
232	287	26	1
239	287	26	1
250	287	26	1
236	288	26	3
250	288	26	1
233	289	26	1
234	289	26	1
236	289	26	1
243	289	26	1
248	289	26	1
