x	y	z	Interferon alpha/beta signaling
239	272	24	1
235	278	24	1
237	278	24	1
239	278	24	1
241	279	24	1
246	284	24	1
246	287	24	1
244	288	24	1
249	288	24	2
246	289	24	1
249	289	24	1
244	290	24	1
231	264	25	1
236	268	25	2
233	269	25	2
234	271	25	1
227	272	25	1
228	272	25	1
233	272	25	2
239	272	25	2
227	273	25	1
231	274	25	1
235	275	25	1
233	276	25	1
234	276	25	1
237	276	25	1
239	276	25	1
248	276	25	1
232	277	25	1
236	277	25	1
247	277	25	1
231	278	25	1
232	278	25	1
234	278	25	1
238	278	25	1
239	278	25	1
233	279	25	1
235	279	25	2
236	279	25	1
239	279	25	2
241	279	25	2
247	279	25	2
233	280	25	1
241	280	25	1
245	280	25	1
234	281	25	1
235	281	25	2
237	281	25	1
240	281	25	1
249	281	25	1
231	282	25	1
235	282	25	2
238	282	25	1
239	282	25	1
248	282	25	1
237	283	25	1
239	283	25	1
241	283	25	2
243	283	25	1
246	283	25	1
249	283	25	1
213	284	25	2
234	284	25	1
237	284	25	1
242	284	25	2
249	284	25	1
250	284	25	1
252	284	25	1
234	285	25	1
235	285	25	1
236	285	25	3
238	285	25	2
239	285	25	1
241	285	25	1
244	285	25	2
248	285	25	1
232	286	25	1
235	286	25	1
236	286	25	1
245	286	25	1
250	286	25	1
254	286	25	1
238	287	25	1
224	288	25	1
235	288	25	1
236	288	25	1
242	288	25	1
226	289	25	1
234	289	25	1
235	289	25	1
236	289	25	1
238	289	25	1
241	289	25	1
244	289	25	1
248.5	289.5	25.5	3
235	290	25	1
236	290	25	2
243	290	25	1
244	290	25	1
246	290	25	1
235	291	25	1
236	291	25	1
237	291	25	1
238	291	25	1
239	291	25	1
242	292	25	1
249	292	25	1
243	293	25	2
247	293	25	2
241	294	25	1
247	294	25	1
240	295	25	1
243	295	25	1
245	295	25	1
238	296	25	1
242	296	25	1
246	296	25	1
239	297	25	1
241	299	25	1
243	299	25	1
238	300	25	2
239	300	25	1
176	259	26	1
229	262	26	1
229	264	26	1
230	264	26	2
215	265	26	1
232	265	26	1
237	266	26	1
230	267	26	1
235	267	26	2
228	269	26	1
229	269	26	1
237	270	26	2
250	270	26	1
229	271	26	1
236	271	26	3
217	272	26	1
223	272	26	1
224	272	26	1
226	272	26	2
231	273	26	1
231	274	26	3
233	274	26	1
236	274	26	1
238	274	26	1
235	275	26	1
249	275	26	1
215	276	26	2
232	276	26	1
234	276	26	1
238	276	26	1
