x	y	z	Calmodulin induced events
244	284	21	2
235	278	24	1
245	284	24	1
248	286	24	1
239	287	24	1
244	287	24	1
245	287	24	1
244	288	24	1
249	288	24	1
246	289	24	1
249	289	24	1
244	290	24	1
231	268	25	1
228	272	25	1
230	272	25	1
227	273	25	1
235	273	25	1
236	273	25	1
232	274	25	1
238	274	25	1
235	275	25	2
236	275	25	2
234	276	25	1
239	276	25	1
232	277	25	1
233	277	25	1
232	278	25	2
235	279	25	1
236	279	25	1
237	279	25	1
241	279	25	1
247	279	25	1
232	280	25	1
233	280	25	2
234	280	25	1
248	280	25	1
237	281	25	1
243	281	25	1
231	282	25	1
233	282	25	1
240	282	25	1
230	283	25	1
233	283	25	1
234	283	25	1
235	283	25	2
237	283	25	2
239	283	25	1
241	283	25	1
246	283	25	1
213	284	25	1
235	284	25	2
236	284	25	1
247	284	25	2
249	284	25	2
252	284	25	1
215	285	25	1
232	285	25	1
237	285	25	1
238	285	25	1
244	285	25	1
248	285	25	1
250	285	25	2
252	285	25	1
234	286	25	1
235	286	25	1
236	286	25	1
242	286	25	1
223	287	25	1
238	287	25	1
245	287	25	1
246	287	25	2
251	287	25	1
224	288	25	1
235	288	25	1
251	288	25	2
235	289	25	1
237	289	25	2
241	289	25	1
252	289	25	1
225	290	25	1
234	290	25	2
236	290	25	2
243	290	25	1
250	290	25	2
234	291	25	1
237	291	25	1
242	291	25	1
250	291	25	2
227	292	25	1
243	292	25	1
239	293	25	1
244	293	25	1
243	294	25	1
244	294	25	1
243	297	25	1
240	298	25	2
243	299	25	2
240	300	25	1
176	259	26	1
229	262	26	1
231	264	26	1
215	265	26	1
232	265	26	1
241	267	26	1
233	268	26	2
241	268	26	1
236	269	26	1
228	270	26	1
233	270	26	2
237	270	26	1
238	270	26	1
229	271	26	2
223	272	26	1
230	272	26	1
236	272	26	1
231	273	26	1
236	273	26	1
237	273	26	1
249	273	26	2
238	274	26	1
235	275	26	2
237	275	26	1
246	275	26	1
249	275	26	1
234	276	26	2
235	276	26	1
248	276	26	1
209	277	26	2
230	277	26	1
232	277	26	1
236	277	26	1
250	277	26	1
233	278	26	1
243	278	26	1
249	278	26	1
236	279	26	1
237	279	26	1
241	279	26	2
248	279	26	2
232	280	26	3
234	280	26	1
236	280	26	1
240	280	26	1
248	280	26	1
250	280	26	1
230	281	26	2
236	281	26	1
244	281	26	1
250	281	26	1
209	282	26	2
233	282	26	1
234	282	26	1
240	282	26	1
246	282	26	1
247	282	26	1
249	282	26	1
227	283	26	2
231	283	26	1
234	283	26	1
243	283	26	1
248	283	26	1
253	283	26	1
254	283	26	1
215	284	26	1
232	284	26	1
237	284	26	1
241	284	26	1
242	284	26	1
243	284	26	1
248	284	26	2
250	284	26	1
252	284	26	1
214	285	26	1
235	285	26	1
237	285	26	1
241	285	26	2
244	285	26	1
252	285	26	1
254	285	26	1
216	286	26	1
232	286	26	1
237	286	26	1
241	286	26	1
242	286	26	1
246	286	26	1
248	286	26	1
249	286	26	2
250	286	26	1
237	287	26	2
239	287	26	1
243	287	26	2
247	287	26	1
248	287	26	1
249	287	26	1
250	287	26	1
251	287	26	1
253	287	26	2
240	288	26	1
248	288	26	2
249	288	26	1
250	288	26	1
252	288	26	1
227	289	26	2
233	289	26	1
236	289	26	2
242	289	26	1
243	289	26	1
251	289	26	2
233	290	26	1
237	290	26	1
238	290	26	1
239	290	26	1
242	290	26	1
244	290	26	1
235	291	26	1
236	291	26	1
239	291	26	1
240	291	26	1
245	291	26	1
250	291	26	1
225	292	26	1
226	292	26	1
239	292	26	2
240	292	26	1
242	292	26	1
247	292	26	2
249	292	26	2
251	292	26	2
254	292	26	1
236	293	26	2
238	293	26	3
239	293	26	2
253	293	26	1
239	294	26	1
241	294	26	1
249	294	26	1
237	295	26	1
240	295	26	2
242	295	26	1
243	295	26	1
245	295	26	1
248	295	26	1
235	296	26	1
239	296	26	1
243	296	26	1
244	297	26	1
245	297	26	1
236	298	26	1
239	298	26	1
242	298	26	1
246	298	26	1
236	299	26	1
240	299	26	1
241	299	26	1
243	299	26	1
225	300	26	3
235	301	26	1
182	255	27	1
184	259	27	1
188	259	27	1
226	259	27	1
228	259	27	1
229	259	27	1
231	259	27	1
184	260	27	1
185	260	27	1
226	260	27	2
227	260	27	1
233	260	27	1
235	260	27	1
240	260	27	1
177	261	27	1
184	261	27	1
186	261	27	1
220	261	27	1
234	261	27	1
235	261	27	2
177	262	27	4
186	262	27	2
227	262	27	1
229	262	27	2
232	262	27	1
239	262	27	1
175	263	27	2
178	263	27	1
179	263	27	1
182	263	27	1
185	263	27	1
211	263	27	1
225	263	27	1
227	263	27	2
235	263	27	1
239	263	27	1
175	264	27	1
186	264	27	1
219	264	27	2
228	264	27	1
232	264	27	1
234	264	27	2
237	264	27	1
239	264	27	1
248	264	27	1
221	265	27	1
226	265	27	2
231	265	27	1
233	265	27	1
235	265	27	1
237	265	27	1
238	265	27	1
217	266	27	1
219	266	27	2
227	266	27	2
234	266	27	1
235	266	27	1
237	266	27	1
215	267	27	1
226	267	27	2
229	267	27	1
231	267	27	2
232	267	27	1
233	267	27	1
239	267	27	3
240	267	27	2
180	268	27	1
216	268	27	1
217	268	27	2
222	268	27	2
223	268	27	1
229	268	27	1
232	268	27	1
234	268	27	1
236	268	27	2
243	268	27	1
247	268	27	2
248	268	27	1
178	269	27	2
179	269	27	1
207	269	27	1
213	269	27	2
218	269	27	1
225	269	27	1
227	269	27	1
231	269	27	1
239	269	27	1
241	269	27	1
242	269	27	1
179	270	27	1
181	270	27	1
184	270	27	1
192	270	27	1
197	270	27	1
218	270	27	1
226	270	27	1
228	270	27	1
232	270	27	1
234	270	27	1
242	270	27	2
250	270	27	1
178	271	27	1
180	271	27	1
208	271	27	1
210	271	27	2
211	271	27	2
217	271	27	3
222	271	27	1
223	271	27	1
230	271	27	1
231	271	27	3
234	271	27	1
235	271	27	1
243	271	27	1
247	271	27	1
250	271	27	1
251	271	27	2
179	272	27	1
204	272	27	1
207	272	27	2
213	272	27	1
216	272	27	1
217	272	27	2
222	272	27	1
223	272	27	1
229	272	27	2
247	272	27	1
183	273	27	1
206	273	27	2
210	273	27	2
211	273	27	1
