x	y	z	Death Receptor Signalling
248	278	27	1
251	278	27	1
207	279	27	1
219	279	27	1
234	279	27	2
235	279	27	2
236	279	27	1
237	279	27	1
238	279	27	2
239	279	27	1
241	279	27	1
242	279	27	1
244	279	27	1
245	279	27	1
246	279	27	1
248	279	27	1
250	279	27	1
257	279	27	1
204	280	27	1
205	280	27	2
207	280	27	1
209	280	27	2
210	280	27	1
214	280	27	3
233	280	27	2
235	280	27	1
236	280	27	3
238	280	27	2
239	280	27	1
243	280	27	1
244	280	27	1
245	280	27	1
246	280	27	1
248	280	27	1
249	280	27	2
250	280	27	2
252	280	27	1
207	281	27	2
209	281	27	1
214	281	27	1
217	281	27	2
222	281	27	1
230	281	27	1
231	281	27	2
233	281	27	1
237	281	27	2
239	281	27	2
240	281	27	3
241	281	27	1
243	281	27	1
246	281	27	4
252	281	27	1
254	281	27	2
209	282	27	1
214	282	27	1
215	282	27	2
216	282	27	1
217	282	27	1
231	282	27	1
233	282	27	1
235	282	27	1
237	282	27	1
239	282	27	2
242	282	27	1
243	282	27	1
244	282	27	1
246	282	27	1
248	282	27	1
250	282	27	1
252	282	27	1
253	282	27	3
206	283	27	1
207	283	27	1
208	283	27	1
227	283	27	1
228	283	27	1
231	283	27	1
232	283	27	1
236	283	27	2
241	283	27	2
242	283	27	2
243	283	27	1
245	283	27	2
247	283	27	3
248	283	27	1
249	283	27	1
253	283	27	1
255	283	27	1
208	284	27	1
210	284	27	2
212	284	27	1
213	284	27	1
214	284	27	1
230	284	27	1
232	284	27	2
235	284	27	2
237	284	27	2
240	284	27	2
241	284	27	3
249	284	27	2
250	284	27	1
252	284	27	2
253	284	27	1
254	284	27	1
256	284	27	2
257	284	27	1
209	285	27	1
210	285	27	1
211	285	27	1
213	285	27	1
219	285	27	1
220	285	27	1
223	285	27	1
234	285	27	1
237	285	27	2
238	285	27	1
240	285	27	1
242	285	27	1
245	285	27	1
246	285	27	2
249	285	27	1
250	285	27	2
253	285	27	1
256	285	27	2
204	286	27	1
206	286	27	2
209	286	27	3
211	286	27	2
212	286	27	2
216	286	27	1
218	286	27	1
219	286	27	1
222	286	27	1
225	286	27	3
226	286	27	2
232	286	27	3
233	286	27	1
237	286	27	1
239	286	27	2
240	286	27	1
244	286	27	1
246	286	27	3
247	286	27	1
249	286	27	1
251	286	27	1
252	286	27	1
254	286	27	1
255	286	27	1
256	286	27	2
258	286	27	1
221	287	27	1
222	287	27	1
223	287	27	2
227	287	27	1
230	287	27	1
231	287	27	1
232	287	27	1
236	287	27	5
237	287	27	1
238	287	27	1
239	287	27	1
240	287	27	2
242	287	27	1
246	287	27	2
247	287	27	1
248	287	27	1
251	287	27	1
252	287	27	1
255	287	27	1
256	287	27	1
214	288	27	4
223	288	27	1
225	288	27	1
226	288	27	1
231	288	27	1
232	288	27	1
235	288	27	1
236	288	27	1
237	288	27	3
238	288	27	1
244	288	27	1
246	288	27	1
247	288	27	1
251	288	27	1
252	288	27	2
253	288	27	1
209	289	27	1
219	289	27	3
222	289	27	1
224	289	27	1
226	289	27	1
230	289	27	1
231	289	27	2
232	289	27	2
236	289	27	1
237	289	27	1
241	289	27	1
242	289	27	1
243	289	27	1
246	289	27	4
248	289	27	1
251	289	27	2
252	289	27	4
253	289	27	1
254	289	27	2
256	289	27	1
224	290	27	1
225	290	27	2
226	290	27	1
227	290	27	1
234	290	27	1
235	290	27	2
240	290	27	1
241	290	27	2
244	290	27	1
246	290	27	1
249	290	27	1
250	290	27	1
251	290	27	2
210	291	27	2
222	291	27	1
227	291	27	1
228	291	27	1
229	291	27	1
230	291	27	1
233	291	27	2
235	291	27	1
236	291	27	1
237	291	27	1
241	291	27	1
242	291	27	2
243	291	27	1
252	291	27	3
257	291	27	1
213	292	27	1
221	292	27	1
222	292	27	2
224	292	27	1
225	292	27	1
226	292	27	1
228	292	27	2
229	292	27	1
235	292	27	1
244	292	27	1
246	292	27	2
247	292	27	3
248	292	27	2
249	292	27	2
211	293	27	1
217	293	27	1
219	293	27	2
221	293	27	1
223	293	27	1
224	293	27	1
226	293	27	2
227	293	27	1
229	293	27	1
234	293	27	1
238	293	27	3
240	293	27	1
243	293	27	3
244	293	27	2
248	293	27	2
254	293	27	1
256	293	27	1
217	294	27	1
220	294	27	1
224	294	27	1
226	294	27	1
231	294	27	2
237	294	27	1
244	294	27	1
245	294	27	1
246	294	27	1
249	294	27	1
252	294	27	1
253	294	27	1
254	294	27	1
257	294	27	2
211	295	27	1
221	295	27	1
222	295	27	1
223	295	27	1
239	295	27	1
243	295	27	2
247	295	27	1
248	295	27	1
251	295	27	1
252	295	27	1
220	296	27	1
236	296	27	2
240	296	27	1
241	296	27	2
246	296	27	1
247	296	27	2
249	296	27	1
252	296	27	2
217	297	27	2
220	297	27	1
221	297	27	1
225	297	27	1
236	297	27	1
237	297	27	2
238	297	27	3
240	297	27	1
243	297	27	2
248	297	27	1
253	297	27	1
221	298	27	2
223	298	27	1
235	298	27	1
239	298	27	2
243	298	27	1
244	298	27	1
245	298	27	1
248	298	27	1
215	299	27	2
226	299	27	2
229	299	27	1
230	299	27	1
236	299	27	1
237	299	27	1
239	299	27	2
241	299	27	1
243	299	27	1
245	299	27	2
246	299	27	2
247	299	27	1
249	299	27	2
252	299	27	1
228	300	27	1
231	300	27	1
235	300	27	1
237	300	27	1
238	300	27	5
240	300	27	2
241	300	27	1
244	300	27	1
227	301	27	1
236	301	27	1
238	301	27	2
239	301	27	1
240	301	27	1
241	301	27	2
243	301	27	1
247	301	27	1
250	301	27	1
226	302	27	1
235	302	27	1
237	302	27	1
238	302	27	1
239	302	27	1
244	302	27	1
241	303	27	1
236	304	27	1
235	305	27	1
230	262	28	1
232	264	28	1
234	265	28	1
231	266	28	2
232	266	28	2
234	266	28	2
234	267	28	3
235	268	28	1
236	268	28	3
237	268	28	1
238	268	28	1
237	269	28	1
238	269	28	1
237	270	28	2
237	271	28	1
206	272	28	1
234	272	28	1
250	272	28	1
235	273	28	1
214	274	28	1
235	274	28	3
235	275	28	1
249	275	28	1
233	276	28	1
234	276	28	3
237	276	28	2
237	277	28	2
238	277	28	1
237	278	28	2
210	279	28	2
241	280	28	1
251	280	28	1
210	281	28	1
235	281	28	1
252	281	28	1
247	282	28	1
249	282	28	1
237	283	28	1
246	283	28	1
247	283	28	1
249	283	28	1
248	284	28	1
250	284	28	2
254	284	28	1
238	285	28	2
239	285	28	1
244	285	28	1
245	285	28	1
248	285	28	1
232	286	28	1
235	286	28	1
237	286	28	1
246	286	28	2
249	286	28	2
244	287	28	1
245	287	28	1
248	287	28	1
251	287	28	1
224	288	28	1
238	288	28	1
242	288	28	1
245	288	28	2
228	289	28	1
231	289	28	1
245	289	28	2
246	289	28	2
248	289	28	1
249	289	28	1
253	289	28	2
237	290	28	2
240	290	28	1
242	290	28	1
226	291	28	1
237	291	28	1
239	291	28	1
245	291	28	2
250	291	28	1
222	292	28	2
241	292	28	4
245	292	28	1
247	292	28	3
248	292	28	1
240	293	28	2
243	293	28	1
248	293	28	2
241	294	28	1
245	294	28	2
249	294	28	1
250	294	28	1
251	294	28	1
240	295	28	3
240	296	28	2
239	297	28	1
245	297	28	1
240	299	28	1
225	300	28	1
236	300	28	1
233	256	29	1
234	256	29	1
230	257	29	1
233	258	29	2
235	258	29	1
237	258	29	1
182	259	29	1
229	259	29	1
230	259	29	1
238	259	29	2
234	260	29	1
199	261	29	2
226	261	29	1
221	262	29	1
229	262	29	1
248	262	29	2
231	263	29	1
245	263	29	1
248	263	29	2
215	264	29	2
237	264	29	2
226	265	29	1
233	265	29	1
234	265	29	1
238	265	29	1
249	265	29	1
178	266	29	3
195	266	29	2
197	266	29	1
226	266	29	1
228	266	29	3
229	266	29	2
230	266	29	1
232	266	29	2
237	266	29	2
250	266	29	1
192	267	29	1
194	267	29	1
196	267	29	1
197	267	29	1
199	267	29	2
214	267	29	1
226	267	29	2
231	267	29	1
232	267	29	1
234	267	29	4
235	267	29	1
237	267	29	2
201	268	29	2
226	268	29	2
231	268	29	1
234	268	29	1
238	268	29	3
250	268	29	1
193	269	29	1
196	269	29	1
204	269	29	1
232	269	29	1
234	269	29	3
237	269	29	1
240	269	29	1
175	270	29	3
178	270	29	1
198	270	29	2
200	270	29	1
215	270	29	1
227	270	29	2
237	270	29	2
173	271	29	1
203	271	29	2
215	271	29	1
216	271	29	1
229	271	29	2
233	271	29	3
234	271	29	1
235	271	29	2
240	271	29	2
241	271	29	2
242	271	29	1
251	271	29	1
211	272	29	3
215	272	29	2
224	272	29	2
233	272	29	1
236	272	29	1
238	272	29	1
239	272	29	1
241	272	29	1
249	272	29	1
251	272	29	2
182	273	29	1
211	273	29	1
236	273	29	1
238	273	29	2
250	273	29	1
206	274	29	1
213	274	29	1
214	274	29	1
232	274	29	1
234	274	29	2
235	274	29	3
236	274	29	1
239	274	29	2
250	274	29	2
184	275	29	2
215	275	29	1
232	275	29	2
235	275	29	2
237	275	29	1
239	275	29	2
242	275	29	1
245	275	29	1
204	276	29	3
206	276	29	1
208	276	29	1
228	276	29	2
232	276	29	5
234	276	29	2
236	276	29	1
238	276	29	3
246	276	29	2
248	276	29	1
252	276	29	1
232	277	29	1
236	277	29	1
237	277	29	1
239	277	29	1
247	277	29	1
250	277	29	1
251	277	29	1
204	278	29	3
208	278	29	3
235	278	29	1
237	278	29	1
244	278	29	1
245	278	29	1
247	278	29	4
250	278	29	1
234	279	29	2
236	279	29	2
245	279	29	1
246	279	29	2
248	279	29	1
249	279	29	1
252	279	29	1
254	279	29	2
205	280	29	1
236	280	29	1
238	280	29	1
241	280	29	1
245	280	29	1
246	280	29	1
251	280	29	3
224	281	29	2
233	281	29	1
243	281	29	2
245	281	29	1
246	281	29	1
247	281	29	1
248	281	29	2
250	281	29	2
206	282	29	1
213	282	29	1
241	282	29	1
242	282	29	2
245	282	29	3
248	282	29	1
249	282	29	1
250	282	29	1
254	282	29	1
215	283	29	2
231	283	29	1
233	283	29	1
234	283	29	1
238	283	29	1
241	283	29	2
244	283	29	1
247	283	29	1
248	283	29	2
249	283	29	1
250	283	29	1
251	283	29	3
211	284	29	1
220	284	29	2
222	284	29	2
244	284	29	1
249	284	29	3
250	284	29	1
255	284	29	2
256	284	29	1
233	285	29	2
236	285	29	1
240	285	29	1
242	285	29	1
243	285	29	2
244	285	29	1
246	285	29	1
250	285	29	1
253	285	29	1
254	285	29	1
233	286	29	2
234	286	29	1
241	286	29	3
242	286	29	2
243	286	29	2
247	286	29	1
248	286	29	1
249	286	29	2
252	286	29	2
228	287	29	1
231	287	29	1
233	287	29	1
234	287	29	1
236	287	29	1
238	287	29	1
241	287	29	1
244	287	29	1
247	287	29	1
249	287	29	3
224	288	29	1
226	288	29	1
228	288	29	2
233	288	29	2
235	288	29	2
236	288	29	1
240	288	29	1
241	288	29	1
243	288	29	1
244	288	29	3
245	288	29	1
246	288	29	1
249	288	29	2
224	289	29	1
227	289	29	1
234	289	29	1
235	289	29	1
237	289	29	1
240	289	29	1
245	289	29	1
246	289	29	1
250	289	29	1
224	290	29	1
225	290	29	3
226	290	29	1
227	290	29	2
228	290	29	1
230	290	29	1
237	290	29	1
239	290	29	1
242	290	29	2
243	290	29	1
246	290	29	4
247	290	29	1
225	291	29	2
226	291	29	1
238	291	29	1
245	291	29	2
247	291	29	1
248	291	29	2
249	291	29	2
250	291	29	1
251	291	29	1
225	292	29	1
227	292	29	1
236	292	29	2
238	292	29	1
242	292	29	1
249	292	29	3
257	292	29	2
222	293	29	2
223	293	29	2
224	293	29	2
225	293	29	1
227	293	29	1
237	293	29	1
239	293	29	1
249	293	29	1
252	293	29	1
253	293	29	1
221	294	29	1
240	294	29	1
241	294	29	2
242	294	29	2
243	294	29	1
248	294	29	2
249	294	29	1
251	294	29	2
221	295	29	1
223	295	29	1
241	295	29	2
243	295	29	1
244	295	29	1
245	295	29	1
223	296	29	1
239	296	29	1
252	296	29	2
227	297	29	1
238	297	29	1
241	297	29	2
242	297	29	1
247	297	29	4
248	297	29	1
221	298	29	2
224	298	29	1
239	298	29	2
242	298	29	1
248	298	29	1
249	298	29	1
222	299	29	1
226	299	29	2
237	299	29	1
239	299	29	1
241	299	29	2
252	299	29	2
221	300	29	1
225	300	29	1
226	300	29	1
227	300	29	1
235	300	29	1
223	301	29	1
224	301	29	1
225	301	29	1
227	301	29	2
230	301	29	1
236	301	29	1
238	301	29	1
241	301	29	1
247	301	29	1
236	305	29	2
225	251	30	1
228	251	30	3
215	252	30	1
228	253	30	2
232	253	30	1
215	254	30	1
230	254	30	1
238	254	30	1
191	255	30	1
215	255	30	2
229	255	30	1
230	255	30	2
232	255	30	1
234	255	30	2
237	255	30	1
204	256	30	1
229	256	30	1
231	256	30	4
236	256	30	1
209	257	30	1
228	257	30	1
230	257	30	1
237	257	30	2
239	257	30	2
175	258	30	1
176	258	30	1
181	258	30	2
203	258	30	1
226	258	30	1
231	258	30	1
237	258	30	2
183	259	30	2
209	259	30	4
216	259	30	1
218	259	30	2
219	259	30	1
222	259	30	1
224	259	30	1
228	259	30	1
229	259	30	2
231	259	30	1
232	259	30	1
234	259	30	1
235	259	30	1
238	259	30	2
239	259	30	2
241	259	30	2
184	260	30	1
186	260	30	1
190	260	30	1
196	260	30	1
206	260	30	1
216	260	30	1
217	260	30	1
219	260	30	1
226	260	30	1
232	260	30	4
235	260	30	2
239	260	30	1
245	260	30	2
184	261	30	1
194	261	30	3
196	261	30	1
198	261	30	1
208	261	30	1
211	261	30	1
215	261	30	1
218	261	30	1
219	261	30	1
224	261	30	1
226	261	30	1
229	261	30	2
230	261	30	4
231	261	30	2
232	261	30	1
236	261	30	1
239	261	30	1
241	261	30	1
244	261	30	1
186	262	30	1
193	262	30	1
209	262	30	2
220	262	30	1
222	262	30	2
223	262	30	1
225	262	30	1
226	262	30	1
227	262	30	2
230	262	30	2
233	262	30	2
247	262	30	3
248	262	30	1
249	262	30	1
251	262	30	1
179	263	30	2
185	263	30	1
211	263	30	3
218	263	30	1
219	263	30	1
222	263	30	2
227	263	30	1
228	263	30	2
232	263	30	2
233	263	30	3
234	263	30	2
240	263	30	1
242	263	30	1
249	263	30	1
186	264	30	1
188	264	30	1
211	264	30	2
222	264	30	1
225	264	30	1
227	264	30	1
229	264	30	1
230	264	30	1
231	264	30	2
233	264	30	2
236	264	30	3
238	264	30	1
246	264	30	1
250	264	30	1
183	265	30	3
191	265	30	3
192	265	30	1
193	265	30	1
196	265	30	1
200	265	30	2
210	265	30	1
211	265	30	1
213	265	30	2
216	265	30	1
219	265	30	1
224	265	30	3
228	265	30	1
229	265	30	1
230	265	30	1
234	265	30	1
238	265	30	2
242	265	30	1
246	265	30	5
247	265	30	2
248	265	30	1
188	266	30	2
189	266	30	1
193	266	30	1
194	266	30	1
211	266	30	1
214	266	30	1
215	266	30	1
231	266	30	2
232	266	30	1
238	266	30	2
239.5	266.5	30.5	1
241	266	30	1
247	266	30	1
182	267	30	1
189	267	30	1
192	267	30	1
193	267	30	2
196	267	30	1
198	267	30	1
202	267	30	1
219	267	30	1
225	267	30	1
231	267	30	1
232	267	30	1
235	267	30	1
236	267	30	4
239	267	30	1
240	267	30	1
247	267	30	1
249	267	30	1
250	267	30	1
182	268	30	1
188	268	30	1
190	268	30	1
191	268	30	1
195	268	30	2
207	268	30	1
216	268	30	1
217	268	30	1
226	268	30	2
231	268	30	1
235	268	30	2
238	268	30	1
240	268	30	2
241	268	30	1
243	268	30	3
245	268	30	1
246	268	30	1
248	268	30	1
249	268	30	2
250	268	30	3
172	269	30	1
177	269	30	1
178	269	30	1
180	269	30	2
191	269	30	1
194	269	30	1
196	269	30	1
197	269	30	2
198	269	30	1
204	269	30	1
213	269	30	1
215	269	30	1
216	269	30	1
219	269	30	1
222	269	30	2
232	269	30	1
233	269	30	1
236	269	30	1
237	269	30	1
238	269	30	1
239	269	30	1
243	269	30	2
244	269	30	2
247	269	30	1
248	269	30	2
250	269	30	1
252	269	30	1
184	270	30	2
187	270	30	1
195	270	30	3
196	270	30	1
197	270	30	3
198	270	30	3
200	270	30	1
207	270	30	1
214	270	30	2
216	270	30	1
234	270	30	2
235	270	30	1
238	270	30	1
245	270	30	4
249	270	30	1
250	270	30	1
181	271	30	2
183	271	30	2
185	271	30	4
193	271	30	2
198	271	30	1
199	271	30	2
200	271	30	2
206	271	30	1
207	271	30	1
208	271	30	1
215	271	30	1
216	271	30	1
225	271	30	3
232	271	30	1
233	271	30	1
239	271	30	1
247	271	30	1
249	271	30	1
179	272	30	1
180	272	30	1
181	272	30	1
182	272	30	1
184	272	30	1
185	272	30	2
206	272	30	4
207	272	30	1
216	272	30	2
223	272	30	1
233	272	30	2
235	272	30	3
236	272	30	1
240	272	30	1
245	272	30	2
247	272	30	1
250	272	30	1
203	273	30	1
